title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Volkswagen Golf GOLF 1.9 D TDI MATCH 105BHP 05DR,http://www.carzone.ie/search/Volkswagen/Golf/GOLF-1.9/201347219791046/advert?channel=CARS,"10,900",2007,Donegal,"44,000",1.9,Diesel,Manual,Grey,2,,Hatchback
Volkswagen Golf R32 4M 250BHP DSG*Full Service History*,http://www.carzone.ie/search/Volkswagen/Golf/R32-4M-2/38013873689672100/advert?channel=CARS,"10,950",2007,Dublin,"68,972",3.1,Petrol,Automatic,Blue,2,"August, 2015",Hatchback
Volkswagen Golf GOLF GT SP 1.9 TDI 105BHP 105 BHP SPORTLINE,http://www.carzone.ie/search/Volkswagen/Golf/GOLF-GT-/201347219854518/advert?channel=CARS,"11,000",2007,Limerick,"80,000",1.9,Diesel,Manual,Black,2,"July, 2015",Hatchback
Volkswagen Golf GTI 200BHP DSG,http://www.carzone.ie/search/Volkswagen/Golf/GTI-200B/201408221851213/advert?channel=CARS,"11,450",2007,Dublin,"51,430",2.0,Petrol,Automatic,Red,2,"May, 2015",Hatchback
Volkswagen Golf GOLF GT 1.4 TSI 3DR 6S 170BHP,http://www.carzone.ie/search/Volkswagen/Golf/GOLF-GT-/201350220292968/advert?channel=CARS,"10,000",2007,Galway,"21,748",1.4,Petrol,Manual,Grey,2,,Hatchback
Volkswagen Golf 1.4 SPORT 80BHP,http://www.carzone.ie/search/Volkswagen/Golf/1.4-SPOR/201411222415646/advert?channel=CARS,"10,000",2007,Wexford,"65,000",1.4,Petrol,Manual,Blue,2,"January, 2015",Hatchback
Volkswagen Golf GOLF 1.4 SPORT 80BHP,http://www.carzone.ie/search/Volkswagen/Golf/GOLF-1.4/201345219599246/advert?channel=CARS,"10,250",2007,Meath,"32,311",1.4,Petrol,Manual,Silver,1,,Hatchback
Volkswagen Golf 2.0 GTI DSG 200BHP,http://www.carzone.ie/search/Volkswagen/Golf/2.0-GTI-/201411222318822/advert?channel=CARS,"9,950",2007,Westmeath,"59,030",2.0,Petrol,Automatic,Black,4,"February, 2015",Hatchback
Volkswagen Golf 2.0 TDI COMFORT  140BHP,http://www.carzone.ie/search/Volkswagen/Golf/2.0-TDI-/36613866024832250/advert?channel=CARS,"9,950",2007,Cork,"65,244",1.9,Diesel,Manual,Grey,2,"May, 2015",Hatchback
Volkswagen Golf 1.4 SPORT TSI DSG 140 5DR,http://www.carzone.ie/search/Volkswagen/Golf/1.4-SPOR/42913936751521080/advert?channel=CARS,"9,950",2007,Dublin,"82,642",1.3,Petrol,Automatic,Metallic Black,2,"January, 2015",Hatchback
