title,link,price,carYear,location,mileage,engine
[u'Ford B-Max 1.6 Automatic '],[u'http://www.carzone.ie/search/Ford/B-Max/1.6-Auto/32913612918273380/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Kerry,"56 M /
                   90 KM","1.7
                  Petrol"
[u'Ford B-Max 1.5 TDCi 75PS 5SPEED'],[u'http://www.carzone.ie/search/Ford/B-Max/1.5-TDCi/31813553065148090/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Cork,"3 M /
                   5 KM","1.5
                  Diesel"
[u'Ford B-Max 1.5TDsl  *NEW UNREGISTERED*'],[u'http://www.carzone.ie/search/Ford/B-Max/1.5TDsl-/36813764734409520/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Kildare,"6 M /
                   10 KM","1.5
                  Diesel"
[u'Ford B-Max 5 Door'],[u'http://www.carzone.ie/search/Ford/B-Max/5-Door/32113511791441780/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Dublin,,"1.5
                  Diesel"
[u'Ford B-Max 5DR 1.5TDCI 75PS**NEW CAR**'],[u'http://www.carzone.ie/search/Ford/B-Max/5DR-1.5T/38513914265747240/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Dublin,,"1.5
                  Diesel"
[u'Ford B-Max 1.5TDCI 75PS 5DR FROM \u20ac245 PER MONTH WITH FORD OPTIONS'],[u'http://www.carzone.ie/search/Ford/B-Max/1.5TDCI-/38013854079076330/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Meath,,"1.5
                  Diesel"
[u'Ford B-Max 1.5 TDCI 75PS M5 2012.75'],[u'http://www.carzone.ie/search/Ford/B-Max/1.5-TDCI/38213917671385820/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Tipperary,,"1.4
                  Diesel"
[u'Ford B-Max 1.4 PETROL 5DR FOR ONLY \u20ac52.98 PER WEEK'],[u'http://www.carzone.ie/search/Ford/B-Max/1.4-PETR/38013856403684210/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Meath,,"1.4
                  Petrol"
[u'Ford B-Max 1.5 TDCI '],[u'http://www.carzone.ie/search/Ford/B-Max/1.5-TDCI/31513536036275000/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2014 (141),Tipperary,,"1.5
                  Diesel"
[u'Ford B-Max 1.5 TDCI 75PS M5 2012.75'],[u'http://www.carzone.ie/search/Ford/B-Max/1.5-TDCI/36813801089585960/advert?channel=CARS'],"[u'\r\n                                \u20ac12,950\r\n                                \r\n                            ', u'\r\n          \u20ac25,500\r\n          \r\n        ', u'\r\n          \u20ac21,695\r\n          \r\n        ', u'\r\n          \u20ac21,265\r\n          \r\n        ', u'\r\n          \u20ac20,995\r\n          \r\n        ', u'\r\n          \u20ac20,795\r\n          \r\n        ', u'\r\n          \u20ac20,246\r\n          \r\n        ', u'\r\n          \u20ac19,990\r\n          \r\n        ', u'\r\n          \u20ac19,521\r\n          \r\n        ', u'\r\n          \u20acPOA\r\n          \r\n        ', u'\r\n          \u20ac19,495\r\n          \r\n        ']",2013 (132),Dublin,"3,231 M /
                   5,200 KM","1.4
                  Diesel"
[u'Citroen Berlingo 1.6 HDI X LWB'],[u'http://www.carzone.ie/search/Citroen/Berlingo/1.6-HDI-/37613892071115800/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Kilkenny,,"1.6
                  Diesel"
"[u'Citroen Berlingo 1.6 DIESEL - ENTERPRISE 3 Seat Sliding Door - Top Spec \u20ac19,399 Inc VAT']",[u'http://www.carzone.ie/search/Citroen/Berlingo/1.6-DIES/37213738947014260/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Louth,,"1.6
                  Diesel"
