title,link,price,carYear,location,mileage,engine
"Ford B-Max 1.5 TDCi 75PS 5SPEED",http://www.carzone.ie/search/Ford/B-Max/1.5-TDCi/31813553065148090/advert?channel=CARS,9955,2014,Cork,"3 M",1.5
"Ford B-Max 1.5TDsl  *NEW UNREGISTERED*",http://www.carzone.ie/search/Ford/B-Max/1.5TDsl-/36813764734409520/advert?channel=CARS,"9,6",2014,Kildare,"6 M",1.5
Ford B-Max 5 Door,http://www.carzone.ie/search/Ford/B-Max/5-Door/32113511791441780/advert?channel=CARS,"9,955",2014 ,Dublin,,1.5
Ford B-Max 5DR 1.5TDCI 75PS**NEW CAR**,http://www.carzone.ie/search/Ford/B-Max/5DR-1.5T/38513914265747240/advert?channel=CARS,"9,955",2014 ,Dublin,,1.5
Ford B-Max 1.5TDCI 75PS 5DR FROM €245 PER MONTH WITH FORD OPTIONS,http://www.carzone.ie/search/Ford/B-Max/1.5TDCI-/38013854079076330/advert?channel=CARS,"9,955",2014 ,Meath,,1.5
Ford B-Max 1.5 TDCI 75PS M5 2012.75,http://www.carzone.ie/search/Ford/B-Max/1.5-TDCI/38213917671385820/advert?channel=CARS,"9,955",2014 ,Tipperary,,1.4
Ford B-Max 1.4 PETROL 5DR FOR ONLY €52.98 PER WEEK,http://www.carzone.ie/search/Ford/B-Max/1.4-PETR/38013856403684210/advert?channel=CARS,"9,955",2014 ,Meath,,1.4
Ford B-Max DEMO NO MILES,http://www.carzone.ie/search/Ford/B-Max/DEMO-NO-/42713938449844620/advert?channel=CARS,"9,955",2014 ,Louth,,1.4
Ford B-Max 1.5 TDCI ,http://www.carzone.ie/search/Ford/B-Max/1.5-TDCI/31513536036275000/advert?channel=CARS,"9,955",2014 ,Tipperary,,1.5
Ford B-Max 1.4 90PS 5DR,http://www.carzone.ie/search/Ford/B-Max/1.4-90PS/37213847741034920/advert?channel=CARS,"9,955",2013 ,Limerick,"8,3",1.3
Ford B-Max 1.4 90PS 5DR,http://www.carzone.ie/search/Ford/B-Max/1.4-90PS/37213847741034920/advert?channel=CARS,"40,000",2001 ,Limerick,"83,000",4.8


