title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Mondeo TITANIUM 2.0 DIESEL ESTATE,http://www.carzone.ie/search/Ford/Mondeo/TITANIUM/45213971627922430/advert?channel=CARS,"31,000",2014 ,Cork,"1,368",1.9,Diesel,Manual,Metallic Silver,1,,SUV
Ford Mondeo GRAPHITE 1.6 TDCI 115PS,http://www.carzone.ie/search/Ford/Mondeo/GRAPHITE/44113942803338950/advert?channel=CARS,"22,950",2013 ,Kerry,"13,875",1.6,Diesel,Manual,Black,1,,Saloon
Ford Mondeo  1.6 TDCI GRAPHITE // CRUISE CONTROL // 6 SPEED // TRADE INS WELCOME // FINANCE ARRANGED,http://www.carzone.ie/search/Ford/Mondeo/-1.6-TDC/51714014638690350/advert?channel=CARS,"22,500",2014 ,Dublin,"1,429",1.6,Diesel,Manual,Black,1,"March, 2018",Saloon
Ford Mondeo 1.6 TDCI with 5yr Warranty,http://www.carzone.ie/search/Ford/Mondeo/1.6-TDCI/45413977258604470/advert?channel=CARS,"23,950",2014 ,Wexford,98,1.6,Diesel,Manual,Grey,,,Hatchback
Ford Mondeo 1.6 TDCi GRAPHITE 115PS 5DR,http://www.carzone.ie/search/Ford/Mondeo/1.6-TDCi/31713553124336010/advert?channel=CARS,"25,420",2014 ,Cork,3,1.6,Diesel,Manual,Silver,0,,Hatchback
Ford Mondeo *Finance from 3.9% APR* ZETEC 5DR 1.6TDCI 115PS,http://www.carzone.ie/search/Ford/Mondeo/*Finance/51914018001415691/advert?channel=CARS,"26,950",2014 ,Dublin,620,1.6,Diesel,Manual,Silver,1,,Hatchback
Ford Mondeo ZETEC 1.6 TDCI 115PS M6,http://www.carzone.ie/search/Ford/Mondeo/ZETEC-1./49314000845394110/advert?channel=CARS,"26,950",2014 ,Wicklow,"1,367",1.5,Diesel,Manual,Lunar Sky,1,"March, 2018",Hatchback
Ford Mondeo TITANIUM 1.6,http://www.carzone.ie/search/Ford/Mondeo/TITANIUM/43713979111794550/advert?channel=CARS,"26,995",2014 ,Dublin,"1,000",1.5,Diesel,Manual,Grey,1,,Hatchback
Ford Mondeo SALOON 1.6,http://www.carzone.ie/search/Ford/Mondeo/SALOON-1/45413979105775810/advert?channel=CARS,"26,995",2014 ,Dublin,"1,000",1.5,Diesel,Manual,Grey,1,,Saloon
Ford Mondeo 2.0TDCi ZETEC 4DR 6Spd 140PS,http://www.carzone.ie/search/Ford/Mondeo/2.0TDCi-/48613994510513170/advert?channel=CARS,"28,000",2014 ,Cork,28,2.0,Diesel,Manual,Deep Imapct Blue Metallic,0,,Saloon
