title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Audi A4 Avant 2.0 TDI 150 S-Line - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/Avant-2./49314000809031880/advert?channel=CARS,"45,995",2014 ,Dublin,"1,864",2.0,Diesel,Manual,Daytona Grey Pearl Effect,1,,Estate
Audi A4 2.0TDI 120BHP S-LINE,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/44713998168405770/advert?channel=CARS,"42,180",2014 ,Galway,24,2.0,Diesel,Manual,Black,,,Saloon
Audi A4 2.0TDI 120BHP S-LINE with Black Pack,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/49614000917138680/advert?channel=CARS,"43,107",2014 ,Galway,61,2.0,Diesel,Manual,Brilliant Black,,,Saloon
Audi A4 2.0TDI 120BHP S-Line,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/45413971249556630/advert?channel=CARS,"43,318",2014 ,Westmeath,,2.0,Diesel,Manual,Daytona Grey,,,Saloon
Audi A4 2.0 TDI 120 S Line - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/44713981711263970/advert?channel=CARS,"43,500",2014 ,Dublin,,2.0,Diesel,Manual,Brilliant Black,,,Saloon
Audi A4 2.0 TDI 120 S-Line * Black Edition *,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/51214011861103500/advert?channel=CARS,"43,605",2014 ,Waterford,8,2.0,Diesel,Manual,Brilliant Black,,,Saloon
Audi A4 2.0 TDI 150 Quattro S Line - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/38713922114315680/advert?channel=CARS,"43,995",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Moonlight Blue,1,,Saloon
Audi A4 2.0TDI 120BHP S-LINE with Black Pack,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/48113989505501060/advert?channel=CARS,"44,245",2014 ,Galway,156,2.0,Diesel,Manual,Daytona Grey Pearl Effect,,,Saloon
Audi A4 2.0TDI 150HP S Line *Black Edition* €200 Road Tax,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/49614000719014160/advert?channel=CARS,"45,865",2014 ,Sligo,25,2.0,Diesel,Manual,Ibis White,,,Saloon
Audi A4 New Audi A4 2.0 Tdi Multitronic SE**Audi Inspiration Pack**,http://www.carzone.ie/search/Audi/A4/New-Audi/51614013772266050/advert?channel=CARS,"45,975",2014 ,Kildare,6,2.0,Diesel,Automatic,Silver,,,Saloon
Audi A4 2.0 TDI 120HP SE,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/48313989601099230/advert?channel=CARS,"41,973",2014 ,Waterford,8,2.0,Diesel,Manual,Dakota Grey,,,Saloon
Audi A4 2.0 TDI 120HP SE,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/38213928063255550/advert?channel=CARS,"39,230",2014 ,Waterford,8,2.0,Diesel,Manual,Brilliant Black,,,Saloon
Audi A4 2.0TDI 120HP SLINE HUGE SPEC,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/44513958615218420/advert?channel=CARS,"39,950",2014 ,Dublin,"2,707",2.0,Diesel,Manual,Daytona Grey,1,,Saloon
Audi A4 2.0TDI 120HP SLINE HUGE SPEC,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/43813958615208460/advert?channel=CARS,"39,950",2014 ,Dublin,"5,048",2.0,Diesel,Manual,Canyon Red Pearl Effect,1,,Saloon
Audi A4 2.0TDI 120HP SLINE,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/42613960917781880/advert?channel=CARS,"39,950",2014 ,Dublin,"7,204",2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
Audi A4 2.0TDI 120bhp SE with Future Now Pack,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/50214000719272330/advert?channel=CARS,"39,995",2014 ,Galway,782,2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
Audi A4 2.0TDI 120BHP SE,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/44513971249559770/advert?channel=CARS,"40,368",2014 ,Westmeath,,2.0,Diesel,Manual,Volcano Red,,,Saloon
Audi A4 2.0 TDI 120HP SE,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/39713928063246570/advert?channel=CARS,"40,368",2014 ,Waterford,8,2.0,Diesel,Manual,Ice Silver,,,Saloon
Audi A4 2.0 TDI 120HP SE *FUTURE NOW PACK* €200 Road Tax,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/42613929025983790/advert?channel=CARS,"40,820",2014 ,Sligo,"3,086",2.0,Diesel,Manual,Brilliant Red,1,,Saloon
Audi A4 2.0 TDI 120 S Line - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/39313923941234530/advert?channel=CARS,"40,995",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Brilliant Red,1,,Saloon
Audi A4 2014 2.0TDI 120BHP SE,http://www.carzone.ie/search/Audi/A4/2014-2.0/44913971249556280/advert?channel=CARS,"39,230",2014 ,Westmeath,,2.0,Diesel,Manual,Brilliant Black,,,Saloon
Audi A4 2.0TDI 120HP SE FUTURE NOW PACKAGE NEW PRICE €42707,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/42813942089880940/advert?channel=CARS,"37,950",2014 ,Dublin,17,2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
Audi A4 2.0TDI 120HP SE NEW PRICE €42707,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/44713956774936100/advert?channel=CARS,"37,950",2014 ,Dublin,17,2.0,Diesel,Manual,Moonlight Blue,1,,Saloon
Audi A4 2.0TDi SE 4DR,http://www.carzone.ie/search/Audi/A4/2.0TDi-S/43213962119244870/advert?channel=CARS,"37,950",2014 ,Carlow,123,2.0,Diesel,Manual,Black,1,,Saloon
"Audi A4 A4 2.0TDI 120HP,Se Future Now Pack**MMI Navigation**Fine Nappa Leather Upholstery with Exten",http://www.carzone.ie/search/Audi/A4/A4-2.0TD/44913972297410260/advert?channel=CARS,"37,950",2014 ,Kildare,"3,106",2.0,Diesel,Manual,Monsoon Grey,1,,Saloon
Audi A4 2.0 TDI 120HP,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/45013999944815680/advert?channel=CARS,"37,950",2014 ,Dublin,"5,369",2.0,Diesel,Manual,Phantom Black Pearl Effect,1,,Saloon
Audi A4 2.0 TDI 120 SE - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/48413988742882330/advert?channel=CARS,"37,995",2014 ,Dublin,"3,106",2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
"Audi A4 2.0TDI 136BHP TECHNIK **choice of colours available, call to view & test drive**",http://www.carzone.ie/search/Audi/A4/2.0TDI-1/1413275772063070/advert?channel=CARS,"38,500",2014 ,Carlow,0,1.9,Diesel,Manual,Metallic Ibis,0,"January, 2016",Saloon
Audi A4 2.0 Tdi 120HP,http://www.carzone.ie/search/Audi/A4/2.0-Tdi-/38213928063248890/advert?channel=CARS,"38,518",2014 ,Waterford,8,2.0,Diesel,Manual,Monsoon Grey,,,Saloon
Audi A4 2.0TDI 120HP SE FUTURE NOW PACKAGE NEW PRICE €42707,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/44813969614957120/advert?channel=CARS,"38,950",2014 ,Dublin,25,2.0,Diesel,Manual,Canyon Red Pearl Effect,1,,Saloon
Audi A4 2.0TDI - SAT NAV- XENONS - CAMERA,http://www.carzone.ie/search/Audi/A4/2.0TDI--/48513993842893610/advert?channel=CARS,"37,900",2014 ,Cork,621,2.0,Diesel,Manual,Brilliant Black,1,,Saloon
"Audi A4 2.0TDI 120HP SE NEW PRICE €40,368",http://www.carzone.ie/search/Audi/A4/2.0TDI-1/45313982775945010/advert?channel=CARS,"37,450",2014 ,Dublin,8,2.0,Diesel,Manual,Moonlight Blue,1,,Saloon
"Audi A4 2.0TDI 120HP SE NEW PRICE €40,368",http://www.carzone.ie/search/Audi/A4/2.0TDI-1/43213942089879310/advert?channel=CARS,"37,450",2014 ,Dublin,17,2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
"Audi A4 2.0TDI 120HP SE NEW PRICE €40,368",http://www.carzone.ie/search/Audi/A4/2.0TDI-1/46113969614926340/advert?channel=CARS,"37,450",2014 ,Dublin,19,2.0,Diesel,Manual,Monsoon Grey,1,,Saloon
Audi A4 2.0TDI 120HP SE NEW PRICE €40367,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/43813969614913230/advert?channel=CARS,"37,450",2014 ,Dublin,25,2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
"Audi A4 2.0TDI 120HP SE NEW PRICE €40,368",http://www.carzone.ie/search/Audi/A4/2.0TDI-1/45013969614925760/advert?channel=CARS,"37,450",2014 ,Dublin,25,2.0,Diesel,Manual,Glacier White,1,,Saloon
"Audi A4 2.0TDI 120HP SE NEW PRICE €40,368",http://www.carzone.ie/search/Audi/A4/2.0TDI-1/44713969614957200/advert?channel=CARS,"37,450",2014 ,Dublin,26,2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
Audi A4 2.0 TDI 120HP,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/44813966926882440/advert?channel=CARS,"37,575",2014 ,Wexford,15,2.0,Diesel,Manual,Dakota Grey,1,,Saloon
Audi A4 DEMO SPECIAL - MANY EXTRAS,http://www.carzone.ie/search/Audi/A4/DEMO-SPE/39113920386079370/advert?channel=CARS,"37,900",2014 ,Cork,6,2.0,Diesel,Manual,Brilliant Black,1,,Estate
Audi A4 2.0TDI - SAT NAV- XENONS - CAMERA,http://www.carzone.ie/search/Audi/A4/2.0TDI--/48213993842893180/advert?channel=CARS,"37,900",2014 ,Cork,621,2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120 SE - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/38813924040386670/advert?channel=CARS,"36,995",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120 SE - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/38513926434008970/advert?channel=CARS,"36,995",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
Audi A4 2.0TDI 120HP SE NEW PRICE €39230,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/46113969614919330/advert?channel=CARS,"36,450",2014 ,Dublin,17,2.0,Diesel,Manual,Ibis White,1,,Saloon
"Audi A4 2.0TDI 120HP SE NEW PRICE €40,368",http://www.carzone.ie/search/Audi/A4/2.0TDI-1/43813942089881100/advert?channel=CARS,"36,450",2014 ,Dublin,17,2.0,Diesel,Manual,Moonlight Blue,1,,Saloon
"Audi A4 2.0TDI 120HP SE NEW PRICE €40,868",http://www.carzone.ie/search/Audi/A4/2.0TDI-1/43313956774931440/advert?channel=CARS,"36,450",2014 ,Dublin,19,2.0,Diesel,Manual,Phantom Black Pearl Effect,1,,Saloon
Audi A4 2.0TDI 120HP SE NEW PRICE €39230,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/45013969614957720/advert?channel=CARS,"36,450",2014 ,Dublin,23,2.0,Diesel,Manual,Brilliant Red,1,,Saloon
Audi A4 2.0 TDI 120HP SE,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/44513997317668630/advert?channel=CARS,"36,450",2014 ,Dublin,196,2.0,Diesel,Manual,Ibis White,1,,Saloon
Audi A4 2.0 TDI**Demo Car**Special Xenon Plus Lights**Upgraded Alloys**Only €200 Road TAx**,http://www.carzone.ie/search/Audi/A4/2.0-TDI*/42313956775179060/advert?channel=CARS,"36,950",2014 ,Kildare,"3,106",2.0,Diesel,Manual,Brilliant Red,1,,Saloon
Audi A4 2.0TDI 120BHP DEMO With Future Now,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/50114002539649790/advert?channel=CARS,"36,950",2014 ,Westmeath,"5,033",2.0,Diesel,Manual,Red,1,,Saloon
Audi A4 2.0 TDI 120 SE - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/39113924706077680/advert?channel=CARS,"36,995",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120 - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/48613988742888530/advert?channel=CARS,"35,995",2014 ,Dublin,"3,106",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0TDI 120HP FUTURE NOW PACKAGE,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/42813963563883380/advert?channel=CARS,"34,950",2014 ,Dublin,"4,215",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120HP,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/43213963563882000/advert?channel=CARS,"34,950",2014 ,Dublin,"4,271",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120HP SE,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/43613958615209980/advert?channel=CARS,"35,950",2014 ,Dublin,"1,669",2.0,Diesel,Manual,Ice Silver Metallic,1,,Saloon
Audi A4 2.0TDI 120HP FUTURE NOW PACKAGE,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/44513962789923710/advert?channel=CARS,"35,950",2014 ,Dublin,"4,463",2.0,Diesel,Manual,Phantom Black Pearl Effect,1,,Saloon
Audi A4 2.0TDI 120HP FUTURE NOW PACKAGE,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/43313963563876690/advert?channel=CARS,"35,950",2014 ,Dublin,"4,648",2.0,Diesel,Manual,Monsoon Grey,1,,Saloon
Audi A4 2.0 TDI 120 - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/49514000809021100/advert?channel=CARS,"35,995",2014 ,Dublin,"1,864",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120 - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/39113927397177760/advert?channel=CARS,"35,995",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120 SE - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/38313924040388650/advert?channel=CARS,"35,995",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120 - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/48813988742881780/advert?channel=CARS,"35,995",2014 ,Dublin,"3,106",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 2.0 TDI 120 - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/38513927397176960/advert?channel=CARS,"34,495",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
Audi A4 S LINE TDI 177BHP * COST €49K NEW,http://www.carzone.ie/search/Audi/A4/S-LINE-T/31513551375807640/advert?channel=CARS,"37,995",2013 ,Longford,"12,566",2.0,Diesel,Manual,Metallic Pearl Daytona Grey,1,,Saloon
Audi A4 S LINE AVANT // AUTOMATIC,http://www.carzone.ie/search/Audi/A4/S-LINE-A/44513946387661530/advert?channel=CARS,"38,950",2013 ,Dublin,"16,000",2.0,Diesel,Automatic,Daytona,1,,Estate
Audi A4 2.0TDI - WHITE - STUNNING,http://www.carzone.ie/search/Audi/A4/2.0TDI--/50014001672736780/advert?channel=CARS,"31,900",2013 ,Cork,"1,455",2.0,Diesel,Manual,Ibis White,1,,Saloon
Audi A4 2.0 TDI 120HP,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/51414013678657350/advert?channel=CARS,"34,950",2013 ,Mayo,"11,495",2.0,Diesel,Manual,Brilliant Black,1,,Saloon
"Audi A4 2.0 Tdi S Line Ex Demo**Low Road Tax** Sports Seats**Upgraded wheels 19""5 segment spoke whee",http://www.carzone.ie/search/Audi/A4/2.0-Tdi-/44713966926853440/advert?channel=CARS,"34,995",2013 ,Kildare,"10,314",2.0,Diesel,Manual,Brilliant Red,1,,Saloon
Audi A4 2.0 TDI 120HP,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/51814015406788690/advert?channel=CARS,"36,500",2013 ,Mayo,"9,631",2.0,Diesel,Manual,Brilliant Red,1,,Saloon
Audi A4 2.0TDI 150BHP Multitronic SE ORDER 142 TODAY,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/45313971249561210/advert?channel=CARS,POA,2014 ,Westmeath,,2.0,Diesel,Automatic,Brilliant Black,1,,Saloon
