title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
BMW 3 Series 318d SE GT Auto (142),http://www.carzone.ie/search/BMW/3-Series/318d-SE-/50214004950252790/advert?channel=CARS,"50,560",2014 ,Westmeath,6,1.9,Diesel,Automatic,Mineral Grey,0,,Estate
BMW 3 Series BMW 318d Modern Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/BMW-318d/42513929843934520/advert?channel=CARS,"50,789",2014 ,Tipperary,0,1.9,Diesel,Automatic,Mineral Grey,0,,SUV
BMW 3 Series 420 MOD G1 2TB Z4AO 2DR AUTO,http://www.carzone.ie/search/BMW/3-Series/420-MOD-/44813957460682020/advert?channel=CARS,"53,950",2014 ,Kerry,"3,418",1.9,Diesel,Automatic,Metallic Black,1,,Coupe
BMW 3 Series 320d M Sport Saloon,http://www.carzone.ie/search/BMW/3-Series/320d-M-S/50914011674974050/advert?channel=CARS,"54,995",2014 ,Tipperary,186,1.9,Diesel,Manual,Alpine White,,,Saloon
BMW 3 Series 316d SE Manual 2.0D,http://www.carzone.ie/search/BMW/3-Series/316d-SE-/51814015385658050/advert?channel=CARS,"38,950",2014 ,Wexford,8,2.0,Diesel,Manual,Jet Black,,,Saloon
BMW 3 Series 318d SE Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/318d-SE-/51214011110379250/advert?channel=CARS,"49,503",2014 ,Dublin,3,1.9,Diesel,Automatic,Jet Black,0,,Hatchback
BMW 3 Series BMW 318d SE Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/BMW-318d/42713929849322640/advert?channel=CARS,"49,660",2014 ,Tipperary,0,1.9,Diesel,Automatic,Jet Black,0,,SUV
BMW 3 Series 318 d Luxury Gran Turismo 2.0d,http://www.carzone.ie/search/BMW/3-Series/318-d-Lu/37713732845421610/advert?channel=CARS,"49,995",2014 ,Dublin,876,2.0,Diesel,Automatic,Glacier Silver,0,,Hatchback
BMW 3 Series 318d Luxury Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/318d-Lux/38813905433229420/advert?channel=CARS,"49,995",2014 ,Dublin,"1,429",1.9,Diesel,Automatic,Glacier Silver,,,Hatchback
BMW 3 Series 318d SE Gran Turismo Auto,http://www.carzone.ie/search/BMW/3-Series/318d-SE-/50514012859590600/advert?channel=CARS,"50,560",2014 ,Galway,2,1.9,Diesel,Automatic,Mineral Grey,0,,Estate
BMW 3 Series 318d Msport,http://www.carzone.ie/search/BMW/3-Series/318d-Msp/37913892814894260/advert?channel=CARS,"48,995",2014 ,Dublin,388,2.0,Diesel,Automatic,Blue,1,,Saloon
BMW 3 Series 318d M Sport Saloon,http://www.carzone.ie/search/BMW/3-Series/318d-M-S/50514012538988370/advert?channel=CARS,"45,995",2014 ,Dublin,,1.9,Diesel,Manual,Mineral Grey,,,Saloon
BMW 3 Series 318d Sport Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/318d-Spo/50514012539089460/advert?channel=CARS,"45,995",2014 ,Tipperary,"11,149",1.9,Diesel,Automatic,Alpine White,,,Hatchback
BMW 3 Series 318 SE 4DR AUTO,http://www.carzone.ie/search/BMW/3-Series/318-SE-4/50014005926311840/advert?channel=CARS,"46,309",2014 ,Dublin,517,1.9,Diesel,Manual,Jet Black,1,"April, 2018",Saloon
BMW 3 Series 318d Luxury Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/318d-Lux/38713902841293960/advert?channel=CARS,"46,950",2014 ,Dublin,"4,615",1.9,Diesel,Automatic,Imperial Blue Xirallic,,,Hatchback
