title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Fiesta 1.6 ST Eco Boost 182P/S,http://www.carzone.ie/search/Ford/Fiesta/1.6-ST-E/46113977509723550/advert?channel=CARS,"29,415",2014 ,Dublin,6,1.6,Petrol,Manual,Performance Blue,0,,Hatchback
Ford Fiesta ZETEC 1.25 60PS M5,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./50114005784319740/advert?channel=CARS,"16,950",2014 ,Sligo,6,1.2,Petrol,Manual,Black,1,,Hatchback
Ford Fiesta  TITANIUM 1.0 65PS  5 dr,http://www.carzone.ie/search/Ford/Fiesta/-TITANIU/45313977312525940/advert?channel=CARS,"16,995",2014 ,Wexford,"3,729",0.9,Petrol,Manual,Metallic Copper Puls,1,,Hatchback
Ford Fiesta 1.25 ZETEC 5 DR,http://www.carzone.ie/search/Ford/Fiesta/1.25-ZET/33413614669708910/advert?channel=CARS,"17,000",2014 ,Cork,3,1.2,Petrol,Manual,Nautical Blue,0,,Hatchback
Ford Fiesta 1.25 ZETEC 5 DR,http://www.carzone.ie/search/Ford/Fiesta/1.25-ZET/31513552469664210/advert?channel=CARS,"17,000",2014 ,Cork,3,1.2,Petrol,Manual,Purple,0,,Hatchback
Ford Fiesta 1.25 Zetec 5 Door,http://www.carzone.ie/search/Ford/Fiesta/1.25-Zet/31813561060823610/advert?channel=CARS,"17,550",2014 ,Dublin,0,1.0,Petrol,Manual,Impact Blue,0,"January, 2017",Hatchback
"Ford Fiesta Zetec-S 3Dr 1.0 Ecoboost 125PS**E1,500 FORD SWAPPAGE**",http://www.carzone.ie/search/Ford/Fiesta/Zetec-S-/52214018001416380/advert?channel=CARS,"18,850",2014 ,Dublin,,1.0,Petrol,Manual,White,,,Hatchback
Ford Fiesta ZETEC 1.5 75PS M5,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./45013996491422510/advert?channel=CARS,"18,750",2014 ,Galway,621,1.5,Diesel,Manual,Panther Black,1,"January, 2017",Hatchback
Ford Fiesta *Finance from 3.9% APR* ZETEC-S 1.0 ECOBOOST 125PS,http://www.carzone.ie/search/Ford/Fiesta/*Finance/51714018001416300/advert?channel=CARS,"19,450",2014 ,Dublin,620,1.0,Petrol,Manual,Black,1,,Hatchback
Ford Fiesta 1.6 ST Ecoboost 3DR,http://www.carzone.ie/search/Ford/Fiesta/1.6-ST-E/39313910840295210/advert?channel=CARS,"29,415",2014 ,Dublin,0,1.5,Petrol,Manual,Blue,0,,Hatchback
"Ford Fiesta TITANIUM 1.0T**Sync Bluetooth +A/C**E1,500 SWAPPAGE DEAL**",http://www.carzone.ie/search/Ford/Fiesta/TITANIUM/51514018001416830/advert?channel=CARS,"16,350",2014 ,Dublin,,1.0,Petrol,Manual,Black,,,Hatchback
Ford Fiesta ***ZETEC 1.0 65PS***,http://www.carzone.ie/search/Ford/Fiesta/***ZETEC/44713965258020300/advert?channel=CARS,"16,495",2014 ,Offaly,62,0.9,Petrol,Manual,Metallic Moondust Silver,1,"March, 2018",Hatchback
Ford Fiesta ZETEC 1.25,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./50914010970594430/advert?channel=CARS,"16,750",2014 ,Dublin,311,1.2,Petrol,Manual,Panther Black,1,"April, 2018",Hatchback
Ford Fiesta fiesta,http://www.carzone.ie/search/Ford/Fiesta/fiesta/43813931028768070/advert?channel=CARS,"16,819",2014 ,Wexford,,1.0,Petrol,Manual,Navy,,,Hatchback
