title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Mercedes-Benz E-Class E 250 CDi AMG SPORT AUTO==HUGE SPEC==,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E-250-CD/44513995839124580/advert?channel=CARS,"64,950",2014 ,Galway,"4,000",2.2,Diesel,Automatic,Polar White,1,"March, 2018",Saloon
Mercedes-Benz E-Class E 220 CDI Cabriolet Auto,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E-220-CD/44513975742241080/advert?channel=CARS,"68,132",2014 ,Dublin,0,2.1,Diesel,Automatic,Metallic Cavansite Blue,0,,Cabriolet
Mercedes-Benz E-Class E220 --AMG STYLING--,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E220---A/45313983563568810/advert?channel=CARS,"69,950",2014 ,Dublin,0,2.1,Diesel,Automatic,Metallic Blue,0,,Cabriolet
Mercedes-Benz E-Class E 220 CDI Cabriolet Automatic,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E-220-CD/42713947271379710/advert?channel=CARS,"69,284",2014 ,Dublin,0,2.1,Diesel,Automatic,Metallic Aragonite Silver,0,,Cabriolet
Mercedes-Benz E-Class E300 Hybrid A/T Avantgarde,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E300-Hyb/44813970379847960/advert?channel=CARS,"60,091",2014 ,Laois,0,2.2,Diesel,Automatic,Metallic Red,0,"April, 2018",Saloon
Mercedes-Benz E-Class AMG CDI COUPE A/T,http://www.carzone.ie/search/Mercedes-Benz/E-Class/AMG-CDI-/51414013768015620/advert?channel=CARS,"61,950",2014 ,Carlow,310,2.0,Diesel,Automatic,White,,,Coupe
Mercedes-Benz E-Class E300 hybrid amg sport,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E300-hyb/52214013773988610/advert?channel=CARS,"61,950",2014 ,Dublin,"2,500",2.1,Hybrid,Automatic,White,0,,Saloon
Mercedes-Benz E-Class E 220 CDi AMG SPORT AUTO==HUGE SPEC==,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E-220-CD/44513995832600760/advert?channel=CARS,"62,950",2014 ,Galway,"2,000",2.2,Diesel,Automatic,Obsidian Black,1,"March, 2018",Saloon
"Mercedes-Benz E-Class 220 Cdi, --AMG SPORTS-- Price new : €70k","http://www.carzone.ie/search/Mercedes-Benz/E-Class/220-Cdi,/51214008450332030/advert?channel=CARS","63,950",2014 ,Dublin,"7,000",2.1,Diesel,Automatic,Metallic Palladium Silver,1,"May, 2017",Coupe
Mercedes-Benz E-Class E300 CDI HYBRID SPORT AMG = SAT NAV = FULL LED LIGHTS =,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E300-CDI/43713961092001040/advert?channel=CARS,"64,945",2014 ,Galway,,2.2,Hybrid,Automatic,Iridium Silver,,,Saloon
