title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Toyota Avensis 141D AVENSIS 2.0 DIESEL LUNA 4DR LOW TAX NOW IN STOCK CALL PADDY 087 3286720,http://www.carzone.ie/search/Toyota/Avensis/141D-AVE/37913850615826380/advert?channel=CARS,"30,495",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Call Paddy 087 3286720,0,"January, 2018",Saloon
Toyota Avensis 141D ESTATE AVENSIS 2.0 DIESEL AURA TOURER 5DR LOW TAX NOW IN STOCK CALL PADDY 087 32,http://www.carzone.ie/search/Toyota/Avensis/141D-EST/36513850617449230/advert?channel=CARS,"27,250",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Call Paddy 087 3286720,0,"January, 2018",Estate
Toyota Avensis  STRATA 2.0 D-4D,http://www.carzone.ie/search/Toyota/Avensis/-STRATA-/50314007695924680/advert?channel=CARS,"27,450",2014 ,Dublin,"4,350",1.9,Diesel,Manual,Silver,1,"January, 2018",Saloon
"Toyota Avensis 2lt Diesel Strata - Sale - Save 2,500 Euro",http://www.carzone.ie/search/Toyota/Avensis/2lt-Dies/49614000826483200/advert?channel=CARS,"27,950",2014 ,Galway,"4,287",1.9,Diesel,Manual,Gray,,,Saloon
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/45113998959025880/advert?channel=CARS,"28,000",2014 ,Westmeath,"1,034",1.9,Diesel,Manual,Metallic Night Sky Black,1,"March, 2018",Saloon
Toyota Avensis 141D AVENSIS 2.0 DIESEL STRATA 4DR LOW TAX NOW IN STOCK CALL PADDY 087 3286720,http://www.carzone.ie/search/Toyota/Avensis/141D-AVE/37113850614094320/advert?channel=CARS,"28,395",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Call Paddy 087 3286720,0,"January, 2018",Saloon
Toyota Avensis 2.0 D4D STRATA,http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/32913614580609460/advert?channel=CARS,"28,700",2014 ,Cork,0,2.0,Diesel,Manual,Silver,0,,Saloon
Toyota Avensis AURA D4D,http://www.carzone.ie/search/Toyota/Avensis/AURA-D4D/43713945325496920/advert?channel=CARS,"28,725",2014 ,Laois,0,2.0,Diesel,Manual,Metallic Bronze,0,,Saloon
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/51014011801906090/advert?channel=CARS,"28,950",2014 ,Clare,283,1.9,Diesel,Manual,Metallic Silver,1,"April, 2018",Saloon
Toyota Avensis 2.0 D-4D Aura,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37213748331431660/advert?channel=CARS,"29,020",2014 ,Kildare,6,2.0,Diesel,Manual,Night Sky Black,0,,Saloon
Toyota Avensis 2.0 D-4D AURA New Model Display Model 0Klms,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/45113996346065040/advert?channel=CARS,"26,950",2014 ,Wicklow,0,1.9,Diesel,Manual,Granite,1,,Saloon
Toyota Avensis 141D AVENSIS 2.0 DIESEL TERRA 4DR 3 YEAR LOW TAX NOW IN STOCK CALL PADDY 087 3286720,http://www.carzone.ie/search/Toyota/Avensis/141D-AVE/31713577611773220/advert?channel=CARS,"25,495",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Call Paddy 087 3286720,0,"January, 2018",Saloon
Toyota Avensis 2.0 D4D TERRA,http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/34013614538914810/advert?channel=CARS,"25,500",2014 ,Cork,0,2.0,Diesel,Manual,Silver,0,,Saloon
Toyota Avensis 141D DEMO MODEL AVENSIS 2.0 DIESEL AURA 4DR NEW MODEL LOW TAX NOW IN STOCK CALL PADDY,http://www.carzone.ie/search/Toyota/Avensis/141D-DEM/37713850612110690/advert?channel=CARS,"25,749",2014 ,Dublin,621,2.0,Diesel,Manual,Metallic Dark Red Call Paddy 087 3286720,0,"January, 2018",Saloon
Toyota Avensis 1.6 AURA,http://www.carzone.ie/search/Toyota/Avensis/1.6-AURA/34013614535814440/advert?channel=CARS,"25,900",2014 ,Cork,0,2.0,Diesel,Manual,Silver,0,,Saloon
