title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Volkswagen Polo Cross 1.2 Tdi 75 Bhp,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./49714005030855460/advert?channel=CARS,"23,693",2014 ,Waterford,,1.6,Diesel,Manual,Terra Beige,,,Hatchback
Volkswagen Polo TRENDLINE,http://www.carzone.ie/search/Volkswagen/Polo/TRENDLIN/37213862486903200/advert?channel=CARS,"19,628",2014 ,Wicklow,,1.2,Diesel,Manual,Toffee Brown,,,Hatchback
Volkswagen Polo Cross 1.2 TSi 70 BHP. Now with 3 years FREE servicing & finance from only 3.9%APR!!!,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./37913849626372110/advert?channel=CARS,"19,950",2014 ,Tipperary,,1.2,Petrol,Manual,Terra Beige Metallic,,,Hatchback
Volkswagen Polo 1.2 TDi Comfortline 75 BHP,http://www.carzone.ie/search/Volkswagen/Polo/1.2-TDi-/36613834223047160/advert?channel=CARS,"20,225",2014 ,Tipperary,,1.2,Diesel,Manual,Black,,,Hatchback
Volkswagen Polo Cross Polo 1.2 TSI 75BHP,http://www.carzone.ie/search/Volkswagen/Polo/Cross-Po/52314013966396280/advert?channel=CARS,"20,250",2014 ,Clare,,1.2,Petrol,Manual,Terra Beige,,,Hatchback
Volkswagen Polo Cross 1.2,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./43813962893613420/advert?channel=CARS,"20,445",2014 ,Galway,,1.2,Petrol,Manual,Silver Metallic,1,,Hatchback
Volkswagen Polo Cross 1.2TDI 5Dr,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./36513805426534310/advert?channel=CARS,"20,950",2014 ,Dublin,6,1.2,Diesel,Manual,Silver,1,,Hatchback
Volkswagen Polo coss 1.2 5dr,http://www.carzone.ie/search/Volkswagen/Polo/coss-1.2/37713801216869250/advert?channel=CARS,"22,180",2014 ,Tipperary,1,1.2,Petrol,Manual,Metallic Silver,0,,Hatchback
Volkswagen Polo Cross 1.2,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./37113834222929820/advert?channel=CARS,"22,188",2014 ,Cork,,1.2,Petrol,Manual,Terra Beige Metallic,,,Hatchback
Volkswagen Polo 1.2 Tdi Cross 75bhp,http://www.carzone.ie/search/Volkswagen/Polo/1.2-Tdi-/36613861623189600/advert?channel=CARS,"23,683",2014 ,Limerick,,1.2,Diesel,Manual,Deep Black Metallic,,,Hatchback
Volkswagen Polo Trendline,http://www.carzone.ie/search/Volkswagen/Polo/Trendlin/36613834222807770/advert?channel=CARS,"17,500",2014 ,Kildare,,1.2,Petrol,Manual,Silver,,,Hatchback
Volkswagen Polo Trendline,http://www.carzone.ie/search/Volkswagen/Polo/Trendlin/37613834222805030/advert?channel=CARS,"17,500",2014 ,Kildare,,1.2,Petrol,Manual,Grey,,,Hatchback
Volkswagen Polo COMF 1.2L DEMO MODEL,http://www.carzone.ie/search/Volkswagen/Polo/COMF-1.2/42613966242500680/advert?channel=CARS,"17,630",2014 ,Wicklow,"4,335",1.2,Petrol,Manual,White,1,,Hatchback
Volkswagen Polo TRENDLINE,http://www.carzone.ie/search/Volkswagen/Polo/TRENDLIN/37113834222915400/advert?channel=CARS,"17,688",2014 ,Cork,,1.2,Petrol,Manual,Deep Black Metallic,,,Hatchback
Volkswagen Polo 1.2 5dr Trendline Alloys & Fog Lights,http://www.carzone.ie/search/Volkswagen/Polo/1.2-5dr-/37613834223150130/advert?channel=CARS,"17,688",2014 ,Westmeath,7,1.2,Petrol,Manual,Grey,,,Hatchback
Volkswagen Polo TRENDLINE TDI *DEMO MODEL*,http://www.carzone.ie/search/Volkswagen/Polo/TRENDLIN/45413969500949740/advert?channel=CARS,"17,900",2014 ,Wicklow,"3,359",1.2,Diesel,Manual,Silver,1,,Hatchback
Volkswagen Polo TL 1.2TDI DEMO MODEL,http://www.carzone.ie/search/Volkswagen/Polo/TL-1.2TD/42313966242496480/advert?channel=CARS,"18,100",2014 ,Wicklow,"2,683",1.2,Diesel,Manual,Silver,1,,Hatchback
Volkswagen Polo R-LINE SPORT 1.2L DOOR,http://www.carzone.ie/search/Volkswagen/Polo/R-LINE-S/45413981903068660/advert?channel=CARS,"18,750",2014 ,Wicklow,"5,003",1.2,Petrol,Manual,Red,1,,Hatchback
Volkswagen Polo Trendline 1.2 TDI,http://www.carzone.ie/search/Volkswagen/Polo/Trendlin/37113857306164140/advert?channel=CARS,"19,145",2014 ,Wexford,12,1.2,Diesel,Manual,Silver,,,Hatchback
Volkswagen Polo COMF TDI *DEMO MODEL*,http://www.carzone.ie/search/Volkswagen/Polo/COMF-TDI/43413966242506080/advert?channel=CARS,"19,300",2014 ,Wicklow,"3,021",1.2,Diesel,Manual,Silver,1,,Hatchback
