title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Volkswagen Golf GOLF R 2.0TSI DSG 300BHP 5DR -FULLY LOADED- **WWW.FRANKKEANEVOLKSWAGEN.IE**,http://www.carzone.ie/search/Volkswagen/Golf/GOLF-R-2/42613962119905600/advert?channel=CARS,"59,995",2014 ,Dublin,"4,038",2.0,Petrol,Automatic,Blue,1,,Hatchback
Volkswagen Golf GTI 5 DOOR 6 SPEED 220BHP NEW MODEL **WWW.NEWMARKETMOTORS.IE**,http://www.carzone.ie/search/Volkswagen/Golf/GTI-5-DO/43613951583084140/advert?channel=CARS,"37,708",2014 ,Cork,3,2.0,Petrol,Manual,Deep Black Pearl Effect,,,Hatchback
Volkswagen Golf GTI 2.0 220BHP 5DR LEATHER -- AVAILABLE FOR IMMEDIATE DELIVERY,http://www.carzone.ie/search/Volkswagen/Golf/GTI-2.0-/37713834223275410/advert?channel=CARS,"37,750",2014 ,Cork,6,2.0,Petrol,Manual,White,,,Hatchback
Volkswagen Golf GTD 2.0TDI 185Bhp* Test Drive Today*3.9% Finance,http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0T/46513996132069190/advert?channel=CARS,"37,950",2014 ,Dublin,"3,106",2.0,Diesel,Manual,Pure White,1,,Hatchback
Volkswagen Golf GTD 5DR 2.0TDI 184BHP **WWW.FRANKKEANEVOLKSWAGEN.IE**,http://www.carzone.ie/search/Volkswagen/Golf/GTD-5DR-/49113994038243260/advert?channel=CARS,"38,950",2014 ,Dublin,745,2.0,Diesel,Manual,Grey,1,,Hatchback
Volkswagen Golf GTI CASH PRICE!!!,http://www.carzone.ie/search/Volkswagen/Golf/GTI-CASH/39913900602011030/advert?channel=CARS,"39,000",2014 ,Limerick,621,2.0,Petrol,Automatic,White,1,,Estate
Volkswagen Golf GTi Performance 3dr 230 BHP. Available for immediate delivery!!,http://www.carzone.ie/search/Volkswagen/Golf/GTi-Perf/39313918758392590/advert?channel=CARS,"39,305",2014 ,Tipperary,,2.0,Petrol,Manual,Carbon Steel Grey Metallic,,,Hatchback
Volkswagen Golf 2.0TSI 220HP DSG,http://www.carzone.ie/search/Volkswagen/Golf/2.0TSI-2/46113972196801280/advert?channel=CARS,"39,678",2014 ,Kildare,5,2.0,Petrol,Automatic,Grey,,,Hatchback
Volkswagen Golf GTD 2.0 TDi 184 BHP 5dr,http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0-/45113996441260440/advert?channel=CARS,"41,687",2014 ,Tipperary,,2.0,Diesel,Manual,Tornado Red,,,Hatchback
Volkswagen Golf 2.0TSI AUTO-FULLY LOADED- **WWW.FRANKKEANEVOLKSWAGEN.IE**,http://www.carzone.ie/search/Volkswagen/Golf/2.0TSI-A/48313994038248920/advert?channel=CARS,"44,950",2014 ,Dublin,310,2.0,Petrol,Automatic,White,1,,Hatchback
"Volkswagen Golf GTD 2.0TDI 184BHP BMT *ORDER 2014-PRICE START FROM €37,245*",http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0T/37713834223271840/advert?channel=CARS,"37,245",2014 ,Cork,6,2.0,Diesel,Manual,White,,,Hatchback
Volkswagen Golf HIGHLINE DSG 1.6TDI,http://www.carzone.ie/search/Volkswagen/Golf/HIGHLINE/37313837432353620/advert?channel=CARS,"30,868",2014 ,Wicklow,,1.6,Diesel,Automatic,Limestone Grey,,,Hatchback
Volkswagen Golf Cabriolet 1.6 TDI,http://www.carzone.ie/search/Volkswagen/Golf/Cabriole/44913974754999900/advert?channel=CARS,"32,950",2014 ,Dublin,31,1.6,Diesel,Manual,Purple,0,,Cabriolet
Volkswagen Golf GTI 2.0 TSI MANUAL 6SPEED FWD 220BHP 5DR,http://www.carzone.ie/search/Volkswagen/Golf/GTI-2.0-/38213916920035170/advert?channel=CARS,"33,950",2014 ,Tipperary,"7,456",2.0,Petrol,Manual,Black,1,"January, 2018",Hatchback
Volkswagen Golf GTi from just €84 per week,http://www.carzone.ie/search/Volkswagen/Golf/GTi-from/37213834222635620/advert?channel=CARS,"34,570",2014 ,Donegal,1,2.0,Petrol,Manual,W,,,Hatchback
Volkswagen Golf GTi 3 Door Performance Pack,http://www.carzone.ie/search/Volkswagen/Golf/GTi-3-Do/51114011077686670/advert?channel=CARS,"34,950",2014 ,Dublin,"3,728",2.0,Petrol,Manual,Black,1,,Hatchback
"Volkswagen Golf GTI 2.0TSI 220BHP BMT *ORDER 2014-PRICE START FROM €35,285*",http://www.carzone.ie/search/Volkswagen/Golf/GTI-2.0T/37313834223270260/advert?channel=CARS,"35,285",2014 ,Cork,6,2.0,Petrol,Manual,White,,,Hatchback
Volkswagen Golf GTI 2.0TSI 220BHP 5DR BMT,http://www.carzone.ie/search/Volkswagen/Golf/GTI-2.0T/45013977378861590/advert?channel=CARS,"35,750",2014 ,Dublin,6,2.0,Petrol,Manual,Oryx White Pearl,1,,Estate
"Volkswagen Golf GTD was €40,984 now €35,975",http://www.carzone.ie/search/Volkswagen/Golf/GTD-was-/50914012805492510/advert?channel=CARS,"35,975",2014 ,Wexford,"2,485",2.0,Diesel,Manual,Black,1,,Estate
Volkswagen Golf GTI 2.0 TSI 220bhp 5 Door **SPECIAL FINANCE OFFER 3.9% APR**,http://www.carzone.ie/search/Volkswagen/Golf/GTI-2.0-/46513999274680570/advert?channel=CARS,"36,450",2014 ,Kilkenny,"2,484",2.0,Petrol,Manual,White,1,,Hatchback
Volkswagen Golf 2.0TDi Highline 150bhp Only 3.9% APR Finance,http://www.carzone.ie/search/Volkswagen/Golf/2.0TDi-H/39113921339249700/advert?channel=CARS,"30,750",2014 ,Mayo,"5,381",2.0,Diesel,Manual,Silver,1,,Hatchback
Volkswagen Golf Highline Golf 1.6TDI Sportspack,http://www.carzone.ie/search/Volkswagen/Golf/Highline/37313837628384850/advert?channel=CARS,"29,067",2014 ,Dublin,6,1.6,Diesel,Manual,White,,,Hatchback
Volkswagen Golf 1.6TDI Highline,http://www.carzone.ie/search/Volkswagen/Golf/1.6TDI-H/48813989710216920/advert?channel=CARS,"29,093",2014 ,Laois,,1.6,Diesel,Manual,Grey,,,Hatchback
"Volkswagen Golf 1.6Tdi 105bhp Highline, 3.9% A.P.R With Volkswagen Bank",http://www.carzone.ie/search/Volkswagen/Golf/1.6Tdi-1/37713858166985170/advert?channel=CARS,"29,326",2014 ,Limerick,,1.6,Diesel,Manual,Tungsten Silver,,,Hatchback
Volkswagen Golf 1.6TDI Highline Madrid Edition!!!,http://www.carzone.ie/search/Volkswagen/Golf/1.6TDI-H/44913975857623570/advert?channel=CARS,"29,326",2014 ,Laois,,1.6,Diesel,Manual,Black,,,Hatchback
"Volkswagen Golf 1.6 Tdi 3dr Highline, extras. With finance from only 3.9% APR (representative)!!!!",http://www.carzone.ie/search/Volkswagen/Golf/1.6-Tdi-/36613847133087870/advert?channel=CARS,"29,450",2014 ,Tipperary,,1.6,Diesel,Manual,Candy White,,,Hatchback
Volkswagen Golf Highline sportpack,http://www.carzone.ie/search/Volkswagen/Golf/Highline/36813834222808460/advert?channel=CARS,"29,600",2014 ,Kildare,,1.6,Diesel,Manual,Black,,,Hatchback
Volkswagen Golf 1.6Tdi 105bhp Comfortline Auto Bluemotion + Sport Pack,http://www.carzone.ie/search/Volkswagen/Golf/1.6Tdi-1/36813834222679350/advert?channel=CARS,"29,676",2014 ,Limerick,,1.6,Diesel,Automatic,Tungsten Silver,,,Hatchback
Volkswagen Golf HIGHLINE 1.4ACT DSG 5DR *SPORT PACK* *TAX €190*,http://www.carzone.ie/search/Volkswagen/Golf/HIGHLINE/43813958695633310/advert?channel=CARS,"29,950",2014 ,Dublin,"1,056",1.4,Petrol,Automatic,Black,1,,Estate
Volkswagen Golf Highline Sport Pack,http://www.carzone.ie/search/Volkswagen/Golf/Highline/45013997299862470/advert?channel=CARS,"30,350",2014 ,Louth,6,1.6,Diesel,Manual,White,,,Hatchback
Volkswagen Golf Highline Automatic Sport Pack,http://www.carzone.ie/search/Volkswagen/Golf/Highline/51114012238647860/advert?channel=CARS,"29,000",2014 ,Louth,"3,707",1.6,Diesel,Automatic,White,1,,Hatchback
