title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
BMW 5 Series 520D SE,http://www.carzone.ie/search/BMW/5-Series/520D-SE/51314013840693400/advert?channel=CARS,"58,750",2014 ,Wexford,7,2.0,Diesel,Automatic,Imperial Blue,,,Hatchback
"BMW 5 Series 520D M/SPORT, 20"" Alloy wheels",http://www.carzone.ie/search/BMW/5-Series/520D-M%23S/50014006791990300/advert?channel=CARS,"60,995",2014 ,Dublin,63,2.0,Diesel,Automatic,Blue,0,,Saloon
BMW 5 Series 520d M Sport Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/49514007361125690/advert?channel=CARS,"60,995",2014 ,Dublin,621,1.9,Diesel,Automatic,Imperial Blue Xirallic,,,Saloon
BMW 5 Series 520d M/SPORT GT 2.0,http://www.carzone.ie/search/BMW/5-Series/520d-M%23S/37013839161291270/advert?channel=CARS,"60,995",2014 ,Dublin,"1,650",2.0,Diesel,Automatic,Alpine White,0,,Hatchback
BMW 5 Series 520d M Sport GT,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/37013890745396500/advert?channel=CARS,"60,995",2014 ,Dublin,"4,971",1.9,Diesel,Automatic,Alpine White,,,Hatchback
BMW 5 Series 520d M Sport Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/49714002167936370/advert?channel=CARS,"61,995",2014 ,Dublin,"1,864",1.9,Diesel,Automatic,Space Grey,,,Saloon
BMW 5 Series 520D GT Auto,http://www.carzone.ie/search/BMW/5-Series/520D-GT-/50114004982555090/advert?channel=CARS,"64,437",2014 ,Westmeath,6,1.9,Diesel,Automatic,Callisto Grey,1,,Estate
"BMW 5 Series 520D M/sport,20"" alloy wheels",http://www.carzone.ie/search/BMW/5-Series/520D-M%23s/50014006798682020/advert?channel=CARS,"64,995",2014 ,Dublin,5,2.0,Diesel,Automatic,Carbon Black,0,,Saloon
BMW 5 Series 520d M Sport Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/49614007361097380/advert?channel=CARS,"64,995",2014 ,Dublin,932,1.9,Diesel,Automatic,Carbon Black,,,Saloon
BMW 5 Series BMW 520d M Sport GT,http://www.carzone.ie/search/BMW/5-Series/BMW-520d/42913929858937920/advert?channel=CARS,"67,638",2014 ,Tipperary,0,1.9,Diesel,Automatic,Space Grey,0,,SUV
BMW 5 Series 520 GT SE 4DR AUTO,http://www.carzone.ie/search/BMW/5-Series/520-GT-S/49614005923880570/advert?channel=CARS,"60,628",2014 ,Dublin,501,1.9,Diesel,Automatic,Metallic Blue,1,"April, 2018",Saloon
BMW 5 Series 520d SE Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/50714012539142880/advert?channel=CARS,"57,950",2014 ,Dublin,186,1.9,Diesel,Automatic,Callisto Grey,,,Saloon
BMW 5 Series 520d SE GT,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/50514012539144950/advert?channel=CARS,"57,995",2014 ,Dublin,,1.9,Diesel,Automatic,Jet Black,,,Hatchback
BMW 5 Series 520d M Sport Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/50314008219051990/advert?channel=CARS,"57,995",2014 ,Dublin,"1,181",1.9,Diesel,Automatic,Space Grey,,,Saloon
BMW 5 Series 520d M Sport,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/39113922977842470/advert?channel=CARS,"58,475",2014 ,Dublin,4,1.9,Diesel,Automatic,Glacier Silver,0,,Saloon
BMW 5 Series 520d GT se,http://www.carzone.ie/search/BMW/5-Series/520d-GT-/46613987829317280/advert?channel=CARS,"58,950",2014 ,Kerry,"1,864",1.9,Diesel,Manual,Metallic Jatoba,0,,Hatchback
BMW 5 Series 518d M Sport,http://www.carzone.ie/search/BMW/5-Series/518d-M-S/45313982295898590/advert?channel=CARS,"58,950",2014 ,Dublin,"1,954",1.9,Diesel,Automatic,Carbon Black,,,Estate
BMW 5 Series 520d SE GT,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/38313922713470820/advert?channel=CARS,"59,945",2014 ,Sligo,"1,905",1.9,Diesel,Automatic,Sophisto Grey Xirallic,,,Hatchback
BMW 5 Series 520d M Sport GT,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/48113995255914260/advert?channel=CARS,"59,950",2014 ,Dublin,"5,352",1.9,Diesel,Automatic,Space Grey,,,Hatchback
BMW 5 Series 520d Luxury GT,http://www.carzone.ie/search/BMW/5-Series/520d-Lux/43313939131909080/advert?channel=CARS,"59,995",2014 ,Westmeath,"2,018",1.9,Diesel,Automatic,Space Grey,,,Hatchback
BMW 5 Series 520d M Sport Touring,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/50314013403180710/advert?channel=CARS,"56,950",2014 ,Dublin,"3,163",1.9,Diesel,Automatic,Space Grey,,,Estate
BMW 5 Series 520d M-SPORT AUTO==HIGH SPEC==,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/44913995846725950/advert?channel=CARS,"53,950",2014 ,Galway,"2,500",2.0,Diesel,Automatic,Sophisto Grey,1,"March, 2018",Saloon
BMW 5 Series 518d Luxury Touring,http://www.carzone.ie/search/BMW/5-Series/518d-Lux/51814015380496950/advert?channel=CARS,"53,975",2014 ,Waterford,"1,014",,,Automatic,Callisto Grey,1,,Estate
BMW 5 Series 520d Luxury Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-Lux/43413928761228500/advert?channel=CARS,"54,495",2014 ,Dublin,124,1.9,Diesel,Automatic,Black Sapphire,,,Saloon
BMW 5 Series 520d M Sport Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/50514013403152250/advert?channel=CARS,"54,950",2014 ,Dublin,,1.9,Diesel,Automatic,Carbon Black,,,Saloon
BMW 5 Series 520d SE Touring,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/45213996153742540/advert?channel=CARS,"54,995",2014 ,Westmeath,559,1.9,Diesel,Automatic,Glacier Silver,,,Estate
BMW 5 Series 520d M-SPORT AUTO==HIGH SPEC==,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/45313995845026150/advert?channel=CARS,"55,950",2014 ,Galway,"3,000",2.0,Diesel,Automatic,Titanium Silver,1,"March, 2018",Saloon
BMW 5 Series 520d M-SPORT AUTO==HIGH SPEC==,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/45113981904419010/advert?channel=CARS,"55,950",2014 ,Galway,"4,000",2.0,Diesel,Automatic,Carbon Black,1,"January, 2018",Saloon
BMW 5 Series BMW 520d Luxury,http://www.carzone.ie/search/BMW/5-Series/BMW-520d/45113983335020190/advert?channel=CARS,"56,539",2014 ,Tipperary,0,1.9,Diesel,Automatic,Jatoba,0,,Saloon
BMW 5 Series 520d Luxury,http://www.carzone.ie/search/BMW/5-Series/520d-Lux/50814011768891800/advert?channel=CARS,"56,930",2014 ,Dublin,2,1.9,Diesel,Automatic,Jet Black,0,,Saloon
BMW 5 Series BMW 520d SE,http://www.carzone.ie/search/BMW/5-Series/BMW-520d/43713983373268850/advert?channel=CARS,"51,391",2014 ,Tipperary,0,1.9,Diesel,Automatic,Space Grey,0,,Saloon
BMW 5 Series 520d SE Auto,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/50214004987939770/advert?channel=CARS,"51,716",2014 ,Westmeath,8,1.9,Diesel,Automatic,Callisto Grey,1,,Saloon
BMW 5 Series BMW 520d SE,http://www.carzone.ie/search/BMW/5-Series/BMW-520d/44713983376686750/advert?channel=CARS,"52,076",2014 ,Tipperary,0,1.9,Diesel,Automatic,Jatoba,0,,Saloon
BMW 5 Series 518d M Sport,http://www.carzone.ie/search/BMW/5-Series/518d-M-S/50314008219017340/advert?channel=CARS,"52,995",2014 ,Westmeath,"2,055",1.9,Diesel,Automatic,Carbon Black,,,Saloon
BMW 5 Series 518d Luxury,http://www.carzone.ie/search/BMW/5-Series/518d-Lux/42913946907919250/advert?channel=CARS,"51,995",2014 ,Westmeath,168,1.9,Diesel,Automatic,Jatoba,,,Saloon
BMW 5 Series 520d LUXURY AUTO,http://www.carzone.ie/search/BMW/5-Series/520d-LUX/43713963905417870/advert?channel=CARS,"53,950",2014 ,Galway,0,2.0,Diesel,Automatic,Black Sapphire,0,"March, 2018",Saloon
BMW 5 Series 520d LUXURY AUTO==HIGH SPEC==,http://www.carzone.ie/search/BMW/5-Series/520d-LUX/44213941442158860/advert?channel=CARS,"53,950",2014 ,Galway,0,2.0,Diesel,Automatic,Black Sapphire,0,"February, 2018",Saloon
BMW 5 Series BMW 520d SE,http://www.carzone.ie/search/BMW/5-Series/BMW-520d/43613953094670380/advert?channel=CARS,"51,003",2014 ,Tipperary,0,1.9,Diesel,Automatic,Sophisto Grey Xirallic,0,,Saloon
BMW 5 Series BMW 520d SE,http://www.carzone.ie/search/BMW/5-Series/BMW-520d/43713941104917980/advert?channel=CARS,"51,070",2014 ,Tipperary,0,1.9,Diesel,Automatic,Jet Black,0,,Saloon
BMW 5 Series BMW 520d SE,http://www.carzone.ie/search/BMW/5-Series/BMW-520d/43213941102214510/advert?channel=CARS,"51,264",2014 ,Tipperary,0,1.9,Diesel,Automatic,Imperial Blue Xirallic,0,,Saloon
BMW 5 Series 520d SE AUTO,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/44913984514167600/advert?channel=CARS,"50,950",2014 ,Galway,0,2.0,Diesel,Automatic,Jet Black,0,"April, 2018",Saloon
BMW 5 Series 518d Luxury,http://www.carzone.ie/search/BMW/5-Series/518d-Lux/42813948636058560/advert?channel=CARS,"50,950",2014 ,Limerick,"2,485",1.9,Diesel,Automatic,Jet Black,,,Saloon
BMW 5 Series 518d M Sport,http://www.carzone.ie/search/BMW/5-Series/518d-M-S/49514003031977840/advert?channel=CARS,"50,950",2014 ,Dublin,"3,288",1.9,Diesel,Automatic,Glacier Silver,,,Saloon
BMW 5 Series 518d SE,http://www.carzone.ie/search/BMW/5-Series/518d-SE/50814011675155770/advert?channel=CARS,"50,995",2014 ,Tipperary,"5,898",1.9,Diesel,Automatic,Callisto Grey,,,Estate
BMW 5 Series 518d SE,http://www.carzone.ie/search/BMW/5-Series/518d-SE/51614014378070220/advert?channel=CARS,"50,153",2014 ,Dublin,2,1.9,Diesel,Automatic,Jatoba,0,,Saloon
