title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Toyota Corolla 1.6 Luna Automatic at Denis Mahony (M50),http://www.carzone.ie/search/Toyota/Corolla/1.6-Luna/38213916203005130/advert?channel=CARS,"27,880",2014 ,Dublin,0,1.6,Petrol,Automatic,Ultra Silver,0,,Saloon
Toyota Corolla 1.4 D-4D AURA SALOON,http://www.carzone.ie/search/Toyota/Corolla/1.4-D-4D/48313988652924810/advert?channel=CARS,"23,950",2014 ,Meath,"1,864",1.3,Diesel,Manual,Barcelona Re,1,"January, 2018",Saloon
Toyota Corolla 1.4 D-4D LUNA 4DR,http://www.carzone.ie/search/Toyota/Corolla/1.4-D-4D/49914003283337180/advert?channel=CARS,"23,950",2014 ,Louth,"3,528",1.3,Diesel,Manual,Silver,1,"January, 2018",Saloon
"Toyota Corolla 1.4 LUNA ALLOYS, FOGS, A/CON, REVERSE CAMERA, BLUETOOTH, TOP SPEC IN STOCK AND READY ",http://www.carzone.ie/search/Toyota/Corolla/1.4-LUNA/37313862471883670/advert?channel=CARS,"24,390",2014 ,Dublin,0,1.4,Diesel,Manual,Call Wayne 0876124281,0,"January, 2018",Saloon
Toyota Corolla 141D 1.4 D4D LUNA 4DR NEW MODEL ORDER TODAY CALL PADDY 087-3286720 FOR MORE DETAILS,http://www.carzone.ie/search/Toyota/Corolla/141D-1.4/37013754356573770/advert?channel=CARS,"24,390",2014 ,Dublin,0,1.4,Diesel,Manual,Call Paddy 087-3286720,0,,Saloon
Toyota Corolla 1.4 D-4D LUNA BRAND NEW MODEL JUST LAUNCHED,http://www.carzone.ie/search/Toyota/Corolla/1.4-D-4D/37713755270711450/advert?channel=CARS,"24,445",2014 ,Dublin,0,1.3,Diesel,Manual,Ash Grey,1,,Saloon
Toyota Corolla 1.4 D-4D LUNA 4DR,http://www.carzone.ie/search/Toyota/Corolla/1.4-D-4D/36813754387869680/advert?channel=CARS,"25,550",2014 ,Cork,1,1.4,Diesel,Manual,Metallic Grey,1,,Saloon
Toyota Corolla LUNA D4D,http://www.carzone.ie/search/Toyota/Corolla/LUNA-D4D/45413975619358250/advert?channel=CARS,"25,580",2014 ,Laois,0,1.4,Diesel,Manual,Metallic Barcelona,0,,Saloon
Toyota Corolla 141D AUTO 1.6 AURA 4DR NEW MODEL ORDER TODAY CALL PADDY 087-3286720 FOR MORE DETAILS,http://www.carzone.ie/search/Toyota/Corolla/141D-AUT/37613850559102930/advert?channel=CARS,"25,995",2014 ,Dublin,0,1.6,Petrol,Automatic,Call Paddy 087-3286720,0,,Saloon
Toyota Corolla 141D AUTO 1.6 LUNA 4DR NEW MODEL ORDER TODAY CALL PADDY 087-3286720 FOR MORE DETAILS,http://www.carzone.ie/search/Toyota/Corolla/141D-AUT/37313850560754860/advert?channel=CARS,"26,745",2014 ,Dublin,0,1.6,Petrol,Automatic,Call Paddy 087-3286720,0,,Saloon
Toyota Corolla 1.33 LUNA 4DR Dipslay Model 0Klms,http://www.carzone.ie/search/Toyota/Corolla/1.33-LUN/45213996329005310/advert?channel=CARS,"23,950",2014 ,Wicklow,0,1.3,Petrol,Manual,Asg Grey,1,,Saloon
Toyota Corolla 1.33 AURA 4DR Display Model 0Klms,http://www.carzone.ie/search/Toyota/Corolla/1.33-AUR/45313996330937290/advert?channel=CARS,"22,950",2014 ,Wicklow,0,1.3,Petrol,Manual,Ultra Silver,1,,Saloon
