title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Audi A4 2.0 TDI 150 Quattro S Line - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/38713922114315680/advert?channel=CARS,"46,995",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Moonlight Blue,1,,Saloon
"Audi A4 AVANT 2.0TDI 120HP SE NEW PRICE €44,388",http://www.carzone.ie/search/Audi/A4/AVANT-2./42913944681999590/advert?channel=CARS,"40,950",2014 ,Dublin,13,2.0,Diesel,Manual,Lava Grey Metallic,1,,Estate
Audi A4 2.0 TDI 120HP SE,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/44213938736063730/advert?channel=CARS,"41,995",2014 ,Galway,"1,249",2.0,Diesel,Manual,Scuba Blue,1,,Saloon
Audi A4 2.0TDI 120BHP S-LINE,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/37213843490268520/advert?channel=CARS,"42,180",2014 ,Galway,8,2.0,Diesel,Manual,Black,,,Saloon
Audi A4 2.0 TDI 120HP S Line,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/43513929125461480/advert?channel=CARS,"42,180",2014 ,Sligo,24,2.0,Diesel,Manual,Ibis White,,,Saloon
Audi A4 2.0TDI 120HP SLINE HUGE SPEC,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/44513958615218420/advert?channel=CARS,"42,950",2014 ,Dublin,"2,707",2.0,Diesel,Manual,Daytona Grey,1,,Saloon
Audi A4 A4 2.0 TDI 120 SE - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/A4-2.0-T/37113862696094130/advert?channel=CARS,"43,102",2014 ,Dublin,5,2.0,Diesel,Manual,Scuba Blue,,,Saloon
Audi A4 2.0TDI 120BHP S-Line,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/37613886788981430/advert?channel=CARS,"43,318",2014 ,Westmeath,,2.0,Diesel,Manual,Daytona Grey,,,Saloon
Audi A4 2.0TDI 120HP SLINE HUGE SPEC,http://www.carzone.ie/search/Audi/A4/2.0TDI-1/43813958615208460/advert?channel=CARS,"43,950",2014 ,Dublin,"5,048",2.0,Diesel,Manual,Canyon Red Pearl Effect,1,,Saloon
Audi A4 2.0 TDI 120 S Line - Audi North Dublin,http://www.carzone.ie/search/Audi/A4/2.0-TDI-/39313923941234530/advert?channel=CARS,"44,495",2014 ,Dublin,"2,485",2.0,Diesel,Manual,Brilliant Red,1,,Saloon
