title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
BMW 3 Series 420d,http://www.carzone.ie/search/BMW/3-Series/420d/37013849650291590/advert?channel=CARS,"59,995",2014 ,Dublin,0,2.0,Diesel,Automatic,Estoril Blue,0,,Coupe
BMW 3 Series 320d M Sport Saloon,http://www.carzone.ie/search/BMW/3-Series/320d-M-S/37113819426928610/advert?channel=CARS,"49,398",2014 ,Westmeath,25,1.9,Diesel,Manual,Estoril Blue,0,,Saloon
BMW 3 Series BMW 318d SE Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/BMW-318d/42713929849322640/advert?channel=CARS,"49,660",2014 ,Tipperary,0,1.9,Diesel,Automatic,Jet Black,0,,SUV
BMW 3 Series 318d Sport Saloon,http://www.carzone.ie/search/BMW/3-Series/318d-Spo/38213917528932100/advert?channel=CARS,"49,995",2014 ,Dublin,"1,492",1.9,Diesel,Automatic,Alpine White,,,Saloon
BMW 3 Series BMW 318d Modern Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/BMW-318d/42513929843934520/advert?channel=CARS,"50,789",2014 ,Tipperary,0,1.9,Diesel,Automatic,Mineral Grey,0,,SUV
BMW 3 Series 318D M Sport,http://www.carzone.ie/search/BMW/3-Series/318D-M-S/36513847953065130/advert?channel=CARS,"52,036",2014 ,Dublin,0,2.0,Diesel,Automatic,Black Sapphire,0,,Saloon
BMW 3 Series BMW 320d M Sport,http://www.carzone.ie/search/BMW/3-Series/BMW-320d/43813929832803530/advert?channel=CARS,"52,445",2014 ,Tipperary,0,1.9,Diesel,Manual,Alpine White,0,,Saloon
BMW 3 Series 318 d Luxury Gran Turismo 2.0d,http://www.carzone.ie/search/BMW/3-Series/318-d-Lu/37713732845421610/advert?channel=CARS,"52,495",2014 ,Dublin,876,2.0,Diesel,Automatic,Glacier Silver,0,,Hatchback
BMW 3 Series 318d Luxury Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/318d-Lux/38813905433229420/advert?channel=CARS,"52,495",2014 ,Dublin,"1,429",1.9,Diesel,Automatic,Glacier Silver,,,Hatchback
BMW 3 Series 420 MOD G1 2TB Z4AO 2DR AUTO,http://www.carzone.ie/search/BMW/3-Series/420-MOD-/44813957460682020/advert?channel=CARS,"53,950",2014 ,Kerry,"3,418",1.9,Diesel,Automatic,Metallic Black,1,,Coupe
BMW 3 Series 318d M Sport Saloon,http://www.carzone.ie/search/BMW/3-Series/318d-M-S/38513904568953420/advert?channel=CARS,"48,995",2014 ,Dublin,932,1.9,Diesel,Automatic,Alpine White,,,Saloon
BMW 3 Series 318d SE,http://www.carzone.ie/search/BMW/3-Series/318d-SE/42813945503050640/advert?channel=CARS,"46,291",2014 ,Dublin,3,1.9,Diesel,Automatic,Mineral Grey Metallic,0,,Saloon
BMW 3 Series 318d M-sport,http://www.carzone.ie/search/BMW/3-Series/318d-M-s/31913560076516750/advert?channel=CARS,"46,635",2014 ,Waterford,7,1.9,Diesel,Manual,Estoril Blue,0,,Saloon
BMW 3 Series 220d Coup© Sport,http://www.carzone.ie/search/BMW/3-Series/220d-Cou/43813948635910530/advert?channel=CARS,"46,945",2014 ,Sligo,1,1.9,Diesel,Manual,Alpine White,,,
BMW 3 Series 318d Modern Saloon,http://www.carzone.ie/search/BMW/3-Series/318d-Mod/37113847908402960/advert?channel=CARS,"46,976",2014 ,Dublin,0,2.0,Diesel,Automatic,Mineral Grey,0,,Saloon
BMW 3 Series 220d Coup© M Sport,http://www.carzone.ie/search/BMW/3-Series/220d-Cou/43613948635912220/advert?channel=CARS,"47,495",2014 ,Dublin,249,1.9,Diesel,Manual,Estoril Blue,,,
BMW 3 Series 318d SE Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/318d-SE-/38313905433229180/advert?channel=CARS,"47,495",2014 ,Dublin,"1,553",1.9,Diesel,Automatic,Mineral White,,,Hatchback
BMW 3 Series 318d M Sport Saloon,http://www.carzone.ie/search/BMW/3-Series/318d-M-S/43213939131820840/advert?channel=CARS,"47,758",2014 ,Westmeath,11,1.9,Diesel,Manual,Black Sapphire,,,Saloon
BMW 3 Series 318d M Sport Saloon,http://www.carzone.ie/search/BMW/3-Series/318d-M-S/36313819421189520/advert?channel=CARS,"47,758",2014 ,Westmeath,30,1.9,Diesel,Manual,Black,0,,Hatchback
BMW 3 Series 318d Luxury Gran Turismo,http://www.carzone.ie/search/BMW/3-Series/318d-Lux/38713902841293960/advert?channel=CARS,"47,950",2014 ,Dublin,"3,156",1.9,Diesel,Automatic,Imperial Blue Xirallic,,,Hatchback
BMW 3 Series 318d Sport Touring,http://www.carzone.ie/search/BMW/3-Series/318d-Spo/39913905433191420/advert?channel=CARS,"45,995",2014 ,Dublin,,1.9,Diesel,Manual,Mineral Grey,,,Estate
BMW 3 Series BMW 316d SE Touring,http://www.carzone.ie/search/BMW/3-Series/BMW-316d/43613933312793230/advert?channel=CARS,"44,198",2014 ,Tipperary,0,1.9,Diesel,Automatic,Jet Black,0,,Estate
BMW 3 Series 318d Modern Saloon,http://www.carzone.ie/search/BMW/3-Series/318d-Mod/38213905433165830/advert?channel=CARS,"44,495",2014 ,Dublin,,1.9,Diesel,Automatic,Mineral Grey,,,Saloon
BMW 3 Series 316d SE Touring,http://www.carzone.ie/search/BMW/3-Series/316d-SE-/42713945572169930/advert?channel=CARS,"44,753",2014 ,Dublin,2,1.9,Diesel,Automatic,Jet Black,0,,Estate
BMW 3 Series BMW 220d Coupe,http://www.carzone.ie/search/BMW/3-Series/BMW-220d/43213941185431620/advert?channel=CARS,"45,181",2014 ,Tipperary,0,1.9,Diesel,Manual,Alpine White,0,,Coupe
BMW 3 Series 220d Coupe Sport,http://www.carzone.ie/search/BMW/3-Series/220d-Cou/43213941033001510/advert?channel=CARS,"45,495",2014 ,Dublin,4,1.9,Diesel,Manual,Melbourne Red Metallic,0,,Coupe
BMW 3 Series 220d Coup© Sport,http://www.carzone.ie/search/BMW/3-Series/220d-Cou/42613948635915770/advert?channel=CARS,"45,495",2014 ,Dublin,572,1.9,Diesel,Manual,Melbourne Red Metallic,,,
