title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Fiesta 1.6 ST Ecoboost 3DR,http://www.carzone.ie/search/Ford/Fiesta/1.6-ST-E/39313910840295210/advert?channel=CARS,"29,415",2014 ,Dublin,0,1.5,Petrol,Manual,Blue,0,,Hatchback
Ford Fiesta 5 DOOR ZETEC 1.0 65PS,http://www.carzone.ie/search/Ford/Fiesta/5-DOOR-Z/42313948954410350/advert?channel=CARS,"16,795",2014 ,Dublin,"1,023",0.9,Petrol,Manual,Silver,1,,Hatchback
Ford Fiesta fiesta,http://www.carzone.ie/search/Ford/Fiesta/fiesta/43813931028768070/advert?channel=CARS,"16,819",2014 ,Wexford,,1.0,Petrol,Manual,Navy,,,Hatchback
Ford Fiesta ZETEC 1.5DCi,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./43613935840324080/advert?channel=CARS,"16,995",2014 ,Dublin,620,1.5,Diesel,Manual,Black,1,,Hatchback
Ford Fiesta 1.25 ZETEC 5 DR,http://www.carzone.ie/search/Ford/Fiesta/1.25-ZET/33413614669708910/advert?channel=CARS,"17,000",2014 ,Cork,3,1.2,Petrol,Manual,Nautical Blue,0,,Hatchback
Ford Fiesta 1.25 ZETEC 5 DR,http://www.carzone.ie/search/Ford/Fiesta/1.25-ZET/31513552469664210/advert?channel=CARS,"17,000",2014 ,Cork,3,1.2,Petrol,Manual,Purple,0,,Hatchback
Ford Fiesta TITANIUM 1.0T *Sync Bluetooth*NEW CAR*,http://www.carzone.ie/search/Ford/Fiesta/TITANIUM/38513914265742060/advert?channel=CARS,"17,100",2014 ,Dublin,,1.0,Petrol,Manual,Black,,,Hatchback
Ford Fiesta 1.0 Zetec 5 Door,http://www.carzone.ie/search/Ford/Fiesta/1.0-Zete/31713561059539220/advert?channel=CARS,"17,400",2014 ,Dublin,0,1.0,Petrol,Manual,Choice,0,"January, 2017",Hatchback
Ford Fiesta 1.25 Zetec 5 Door,http://www.carzone.ie/search/Ford/Fiesta/1.25-Zet/31813561060823610/advert?channel=CARS,"17,550",2014 ,Dublin,0,1.0,Petrol,Manual,Impact Blue,0,"January, 2017",Hatchback
Ford Fiesta Zetec 1.0i Econetic,http://www.carzone.ie/search/Ford/Fiesta/Zetec-1./38213920424243890/advert?channel=CARS,"18,170",2014 ,Kildare,5,1.0,Petrol,Manual,Metallic Moondust,0,,Hatchback
Ford Fiesta 5 DOOR ZETEC 1.0,http://www.carzone.ie/search/Ford/Fiesta/5-DOOR-Z/42713948799468190/advert?channel=CARS,"16,795",2014 ,Dublin,138,0.9,Petrol,Manual,Metallic Blue,1,,Hatchback
Ford Fiesta 1.25 Zetec 5dr - *New Car*,http://www.carzone.ie/search/Ford/Fiesta/1.25-Zet/38313914265745490/advert?channel=CARS,"15,750",2014 ,Dublin,,1.2,Petrol,Manual,Black,,,Hatchback
Ford Fiesta 1.25 ZETEC 5DR FROM €169 PER MONTH WITH FORD OPTIONS,http://www.carzone.ie/search/Ford/Fiesta/1.25-ZET/37613854073140310/advert?channel=CARS,"15,833",2014 ,Meath,0,1.2,Petrol,Manual,Red,0,,Hatchback
Ford Fiesta ZETEC 1.25 60PS M5,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./43713940166517550/advert?channel=CARS,"15,950",2014 ,Galway,62,1.2,Petrol,Manual,Panther Black,1,,Hatchback
Ford Fiesta ZETEC 1.25 60PS M5,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./42813940164515070/advert?channel=CARS,"15,950",2014 ,Galway,62,1.2,Petrol,Manual,Moondust Silver,1,,Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/42913948200220600/advert?channel=CARS,"15,990",2014 ,Tipperary,0,0.9,Petrol,Manual,Metallic Silver,1,,Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/42713944555266870/advert?channel=CARS,"15,990",2014 ,Tipperary,62,0.9,Petrol,Manual,Metallic Silver,1,,Hatchback
Ford Fiesta Zetec 1.0 Ecoboost Turbo*NEW CAR*,http://www.carzone.ie/search/Ford/Fiesta/Zetec-1./39113914265746190/advert?channel=CARS,"15,995",2014 ,Dublin,,1.0,Petrol,Manual,Blue,,,Hatchback
Ford Fiesta 3dr 1.25 zetec,http://www.carzone.ie/search/Ford/Fiesta/3dr-1.25/36313851330955130/advert?channel=CARS,"15,995",2014 ,Wexford,1,1.2,Petrol,Manual,Race Red,0,,Hatchback
Ford Fiesta  ZETEC 1.25 60PS,http://www.carzone.ie/search/Ford/Fiesta/-ZETEC-1/42813948938443240/advert?channel=CARS,"16,495",2014 ,Dublin,889,1.2,Petrol,Manual,Black,1,,Hatchback
Ford Fiesta ZETEC 1.25 60PS M5,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./42313953110992170/advert?channel=CARS,"14,950",2013 ,Galway,"13,670",1.2,Petrol,Manual,Blue,1,,Hatchback
Ford Fiesta ZETEC 1.25  5DR,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./39713915346350830/advert?channel=CARS,"15,550",2013 ,Laois,"8,482",1.2,Petrol,Manual,Metallic Black,1,"June, 2017",Hatchback
Ford Fiesta 1.25 60PS,http://www.carzone.ie/search/Ford/Fiesta/1.25-60P/201411222447843/advert?channel=CARS,"14,500",2014 ,Dublin,0,1.2,Petrol,Manual,Any,1,,Hatchback
Ford Fiesta CARVAN 1.5 TDCi 75PS,http://www.carzone.ie/search/Ford/Fiesta/CARVAN-1/42313931028759210/advert?channel=CARS,"15,490",2014 ,Wexford,2,1.5,Diesel,Manual,White,,,Commercial
