title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Focus ZETEC 1.6 95PS 4DR,http://www.carzone.ie/search/Ford/Focus/ZETEC-1./44213948801315390/advert?channel=CARS,"24,695",2014 ,Dublin,"1,011",1.5,Diesel,Manual,Metallic Red,1,,Saloon
"Ford Focus 1.6 TDCI 5DR Zetec ""S""",http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/43213929092279650/advert?channel=CARS,"24,950",2014 ,Kerry,"1,460",1.6,Diesel,Manual,Frozen,1,,Hatchback
Ford Focus titanium x,http://www.carzone.ie/search/Ford/Focus/titanium/42313931028763290/advert?channel=CARS,"27,410",2014 ,Wexford,,1.6,Diesel,Manual,Red,,,Saloon
Ford Focus AUTO TITANIUM 5DR 2.0TDCI,http://www.carzone.ie/search/Ford/Focus/AUTO-TIT/42813941999471070/advert?channel=CARS,"28,950",2014 ,Dublin,620,2.0,Diesel,Automatic,Black,1,,Hatchback
Ford Focus Edition Saloon,http://www.carzone.ie/search/Ford/Focus/Edition-/42313931028780170/advert?channel=CARS,"23,995",2014 ,Wexford,,1.6,Diesel,Manual,Navy,,,Saloon
Ford Focus ZETEC 1.6 TDCI 95PS 5DR,http://www.carzone.ie/search/Ford/Focus/ZETEC-1./42313948924804170/advert?channel=CARS,"23,995",2014 ,Dublin,926,1.5,Diesel,Manual,Metallic Silver,1,,Hatchback
Ford Focus ZETEC 1.6 TDCI 95PS 5DR,http://www.carzone.ie/search/Ford/Focus/ZETEC-1./43613948927464330/advert?channel=CARS,"23,995",2014 ,Dublin,"1,012",1.5,Diesel,Manual,Black,1,,Hatchback
Ford Focus ZETEC 1.6 TDCI 95PS 5DR,http://www.carzone.ie/search/Ford/Focus/ZETEC-1./42813948928825740/advert?channel=CARS,"23,995",2014 ,Dublin,"1,069",1.5,Diesel,Manual,White,1,,Hatchback
Ford Focus ZETEC 1.6 TDCI 95PS 5DR,http://www.carzone.ie/search/Ford/Focus/ZETEC-1./43613948961397530/advert?channel=CARS,"23,995",2014 ,Dublin,"1,669",1.5,Diesel,Manual,Red,1,,Hatchback
Ford Focus 5DR TITANIUM 1.6TDCI 95PS*NEW CAR*,http://www.carzone.ie/search/Ford/Focus/5DR-TITA/43313929785892190/advert?channel=CARS,"24,495",2014 ,Dublin,,1.6,Diesel,Manual,,,,Hatchback
Ford Focus 1.6 TDCI 95PS M6 TITANIUM,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/38213917721376480/advert?channel=CARS,"23,590",2014 ,Tipperary,0,1.5,Diesel,Manual,Metallic Silver,1,"February, 2018",Saloon
