title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Mondeo TITANIUM 5DR 2.0 140PS,http://www.carzone.ie/search/Ford/Mondeo/TITANIUM/44113940274348290/advert?channel=CARS,"29,950",2014 ,Dublin,620,2.0,Diesel,Manual,Black,1,,Hatchback
Ford Mondeo GRAPHITE 1.6 TDCI 115PS,http://www.carzone.ie/search/Ford/Mondeo/GRAPHITE/44113942803338950/advert?channel=CARS,"22,950",2013 ,Kerry,"13,857",1.6,Diesel,Manual,Black,1,,Saloon
Ford Mondeo ZETEC 1.6 TDC 115PS  5DR,http://www.carzone.ie/search/Ford/Mondeo/ZETEC-1./38113847764150850/advert?channel=CARS,"25,000",2013 ,Limerick,"10,143",1.5,Diesel,Manual,Black,1,"July, 2017",Hatchback
Ford Mondeo TITANIUM 2.0 TDCI 140PS,http://www.carzone.ie/search/Ford/Mondeo/TITANIUM/37713847766863580/advert?channel=CARS,"27,000",2013 ,Limerick,"5,062",1.9,Diesel,Manual,Black,1,"July, 2017",Saloon
Ford Mondeo TITANIUIM PLUS 1.6 TDCi TITANIUM 115PS,http://www.carzone.ie/search/Ford/Mondeo/TITANIUI/39913917774364790/advert?channel=CARS,"28,995",2013 ,Dublin,"11,758",1.5,Diesel,Manual,Grey,1,"July, 2017",Saloon
Ford Mondeo ZTEC,http://www.carzone.ie/search/Ford/Mondeo/ZTEC/5413316367101040/advert?channel=CARS,POA,2014 ,Dublin,12,1.6,Diesel,Manual,Dark Micastone,0,"March, 2017",Hatchback
Ford Mondeo GRAPHITE 5DR 1.6TDCI 115PS,http://www.carzone.ie/search/Ford/Mondeo/GRAPHITE/38213914265746800/advert?channel=CARS,"23,900",2014 ,Dublin,620,1.6,Diesel,Manual,Black,1,,Hatchback
Ford Mondeo 1.6 TDCI with 5yr Warranty,http://www.carzone.ie/search/Ford/Mondeo/1.6-TDCI/43213931028767950/advert?channel=CARS,"23,950",2014 ,Wexford,98,1.6,Diesel,Manual,Grey,,,Hatchback
Ford Mondeo 1.6 TDCi GRAPHITE 115PS 5DR,http://www.carzone.ie/search/Ford/Mondeo/1.6-TDCi/31713553124336010/advert?channel=CARS,"25,420",2014 ,Cork,3,1.6,Diesel,Manual,Silver,0,,Hatchback
Ford Mondeo 1.6 TDCI 115 PS 6 X SPEED,http://www.carzone.ie/search/Ford/Mondeo/1.6-TDCI/39713924801509060/advert?channel=CARS,"26,500",2014 ,Wexford,0,1.6,Diesel,Manual,Metallic Hynotic Silver,0,"February, 2018",Estate
Ford Mondeo ZETEC 1.6 TDC 115PS 5DR,http://www.carzone.ie/search/Ford/Mondeo/ZETEC-1./43813947150363080/advert?channel=CARS,"22,950",2013 ,Cork,"9,321",1.5,Diesel,Manual,Mid Sky,1,,Hatchback
Ford Mondeo 2.0 Zetec Business Edition 5Dr,http://www.carzone.ie/search/Ford/Mondeo/2.0-Zete/42613940157838960/advert?channel=CARS,"25,950",2013 ,Galway,"19,785",2.0,Diesel,Manual,Moondust Silver,1,,Hatchback
Ford Mondeo 2.0TDCi Zetec 5Dr,http://www.carzone.ie/search/Ford/Mondeo/2.0TDCi-/43213932571128020/advert?channel=CARS,"25,950",2013 ,Galway,"30,262",2.0,Diesel,Manual,Hypnotic Silver,1,,Hatchback
Ford Mondeo 2.0TDCi Zetec 5Dr,http://www.carzone.ie/search/Ford/Mondeo/2.0TDCi-/44013933490313370/advert?channel=CARS,"25,950",2013 ,Galway,"34,698",2.0,Diesel,Manual,Frozen White,1,,Hatchback
Ford Mondeo 2.0TDCi Titanium 5Dr,http://www.carzone.ie/search/Ford/Mondeo/2.0TDCi-/43313940151968160/advert?channel=CARS,"26,500",2013 ,Galway,"34,755",2.0,Diesel,Manual,Hypnotic Silver,1,,Hatchback
Ford Mondeo ZETEC 1.6 TDC 115PS 4DR,http://www.carzone.ie/search/Ford/Mondeo/ZETEC-1./38613915982845830/advert?channel=CARS,"26,950",2013 ,Wicklow,"6,027",1.5,Diesel,Manual,Blue,1,"January, 2017",Saloon
Ford Mondeo 2.0TDCi Titanium 5Dr,http://www.carzone.ie/search/Ford/Mondeo/2.0TDCi-/44213957483003000/advert?channel=CARS,"26,950",2013 ,Galway,"29,687",2.0,Diesel,Manual,Hypnotic Silver,1,,Hatchback
Ford Mondeo TITANIUM 2.0 TDCI 140PS M6 5DR,http://www.carzone.ie/search/Ford/Mondeo/TITANIUM/37313784655005010/advert?channel=CARS,"27,450",2013 ,Cork,"6,214",1.9,Diesel,Manual,Candy Red,1,"May, 2017",Hatchback
Ford Mondeo TITANIUM 2.0 TDCI 140PS M6 4DR,http://www.carzone.ie/search/Ford/Mondeo/TITANIUM/42913935026192720/advert?channel=CARS,"28,350",2013 ,Cork,"4,623",2.0,Diesel,Manual,Lunary Sky,1,"March, 2017",Hatchback
Ford Mondeo 1.6 Diesel Hatchback - As New Condition - Still Under manufacturers Warranty - Low Road ,http://www.carzone.ie/search/Ford/Mondeo/1.6-Dies/43313947376826870/advert?channel=CARS,"22,945",2013 ,Dublin,"13,048",1.6,Diesel,Manual,Grey,1,,Hatchback
Ford Mondeo TITANIUM ECO 1.6 115PS 4DR,http://www.carzone.ie/search/Ford/Mondeo/TITANIUM/43713946383824310/advert?channel=CARS,"25,500",2013 ,Dublin,"10,998",1.5,Diesel,Manual,Panther Black,1,,Hatchback
Ford Mondeo STYLE 1.6 TDC 115PS 5DR,http://www.carzone.ie/search/Ford/Mondeo/STYLE-1./37613813485519030/advert?channel=CARS,"22,950",2013 ,Clare,"5,282",1.5,Diesel,Manual,Blue,1,"May, 2017",Hatchback
Ford Mondeo **2.0 ZETEC BUSINESS EDITION**,http://www.carzone.ie/search/Ford/Mondeo/**2.0-ZE/44013941162505030/advert?channel=CARS,"22,999",2013 ,Dublin,"22,270",2.0,Diesel,Manual,Silver,1,,Saloon
Ford Mondeo 2.0 TDCi ZETEC 140Bhp 5dr - 280 TAX,http://www.carzone.ie/search/Ford/Mondeo/2.0-TDCi/36813820901241570/advert?channel=CARS,"23,435",2013 ,Dublin,"11,000",2.0,Diesel,Manual,Black,1,,Hatchback
Ford Mondeo ZETEC 1.6 TDCI 115PS 5DR,http://www.carzone.ie/search/Ford/Mondeo/ZETEC-1./38713915235497080/advert?channel=CARS,"23,650",2013 ,Cork,"15,534",1.5,Diesel,Manual,Silver,1,"March, 2017",Hatchback
Ford Mondeo STYLE 1.6 TD 5DR DEMO,http://www.carzone.ie/search/Ford/Mondeo/STYLE-1./37113836540090090/advert?channel=CARS,"23,900",2013 ,Laois,"15,383",1.6,Diesel,Manual,Metallic Black,1,"March, 2017",Hatchback
