title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Mercedes-Benz E-Class ---SOLD---,http://www.carzone.ie/search/Mercedes-Benz/E-Class/---SOLD-/37113814202776830/advert?channel=CARS,"69,950",2014 ,Dublin,0,2.1,Diesel,Automatic,Polar White,0,,Cabriolet
Mercedes-Benz E-Class E300 Hybrid A/T Avantgarde,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E300-Hyb/38113860669826210/advert?channel=CARS,"59,425",2014 ,Laois,0,2.2,Hybrid,Automatic,Metallic Blue,0,"January, 2018",Saloon
"Mercedes-Benz E-Class 200 Cdi, A/T AMG SPORTS PACK.","http://www.carzone.ie/search/Mercedes-Benz/E-Class/200-Cdi,/38813921180129700/advert?channel=CARS","59,500",2014 ,Dublin,0,2.1,Diesel,Automatic,Metallic Iridium Silver,0,,Saloon
"Mercedes-Benz E-Class E250 Cdi Auto Sport, AMG Styling",http://www.carzone.ie/search/Mercedes-Benz/E-Class/E250-Cdi/36313873053505250/advert?channel=CARS,"59,945",2014 ,Galway,62,2.1,Diesel,Automatic,Palladium Silver,,,Saloon
"Mercedes-Benz E-Class 220 Cdi, A/T, AMG STYLING","http://www.carzone.ie/search/Mercedes-Benz/E-Class/220-Cdi,/37113730253391670/advert?channel=CARS","60,000",2014 ,Dublin,0,2.1,Diesel,Automatic,Fire Opel,0,,Coupe
Mercedes-Benz E-Class E220 CDI BE AVANTGARD AUTO Estate,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E220-CDI/37313800216420140/advert?channel=CARS,"60,950",2014 ,Cork,"1,864",2.1,Diesel,Automatic,Silver,0,,Estate
Mercedes-Benz E-Class 220cdi 7 seater Avantgarde,http://www.carzone.ie/search/Mercedes-Benz/E-Class/220cdi-7/44213937022583040/advert?channel=CARS,"61,755",2014 ,Kildare,1,2.1,Diesel,Automatic,Astral Black Beige Leather,1,"January, 2018",Estate
Mercedes-Benz E-Class 220 CDI AUTO COUPE AMG SPORT ***MOTHERS DAY SPECIAL***,http://www.carzone.ie/search/Mercedes-Benz/E-Class/220-CDI-/37613848563100060/advert?channel=CARS,"64,400",2014 ,Dublin,67,2.1,Diesel,Automatic,Polar White,0,"January, 2018",Coupe
Mercedes-Benz E-Class E220cdi Cabrio A/T Great Spec €280 tax,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E220cdi-/38613922987127340/advert?channel=CARS,"65,755",2014 ,Kildare,1,2.1,Diesel,Automatic,Astral Black,0,"March, 2016",Cabriolet
Mercedes-Benz E-Class E220 Cabriolet,http://www.carzone.ie/search/Mercedes-Benz/E-Class/E220-Cab/42713947271379710/advert?channel=CARS,"68,884",2014 ,Dublin,0,2.1,Diesel,Automatic,Metallic Aragonite Silver,0,,Cabriolet
