title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/43713947074646800/advert?channel=CARS,"30,995",2014 ,Wexford,311,1.9,Diesel,Manual,Ultra Silver,1,"January, 2018",Saloon
Toyota Avensis 2.0 D4D AURA,http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/34013614582509390/advert?channel=CARS,"26,700",2014 ,Cork,0,2.0,Diesel,Manual,Black,0,,Saloon
Toyota Avensis 141D ESTATE AVENSIS 2.0 DIESEL AURA TOURER 5DR LOW TAX NOW IN STOCK CALL PADDY 087 32,http://www.carzone.ie/search/Toyota/Avensis/141D-EST/36513850617449230/advert?channel=CARS,"27,250",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Call Paddy 087 3286720,0,"January, 2018",Estate
Toyota Avensis 141D AVENSIS 2.0 DIESEL STRATA 4DR LOW TAX NOW IN STOCK CALL PADDY 087 3286720,http://www.carzone.ie/search/Toyota/Avensis/141D-AVE/37113850614094320/advert?channel=CARS,"28,395",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Call Paddy 087 3286720,0,"January, 2018",Saloon
Toyota Avensis 2.0 D4D STRATA,http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/32913614580609460/advert?channel=CARS,"28,700",2014 ,Cork,0,2.0,Diesel,Manual,Silver,0,,Saloon
Toyota Avensis AURA D4D,http://www.carzone.ie/search/Toyota/Avensis/AURA-D4D/30213457093668190/advert?channel=CARS,"28,700",2014 ,Cork,1,2.0,Diesel,Manual,Dark Red,0,,Saloon
Toyota Avensis AURA D4D,http://www.carzone.ie/search/Toyota/Avensis/AURA-D4D/43713945325496920/advert?channel=CARS,"28,725",2014 ,Laois,0,2.0,Diesel,Manual,Metallic Bronze,0,,Saloon
Toyota Avensis 2.0 D-4D Aura,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37213748331431660/advert?channel=CARS,"29,020",2014 ,Kildare,6,2.0,Diesel,Manual,Night Sky Black,0,,Saloon
Toyota Avensis D4D Tourer Estate Aura at Denis Mahony (M50),http://www.carzone.ie/search/Toyota/Avensis/D4D-Tour/38313911898780650/advert?channel=CARS,"29,700",2014 ,Dublin,0,1.9,Diesel,Manual,Ultra Silver,0,,Estate
Toyota Avensis 141D AVENSIS 2.0 DIESEL LUNA 4DR LOW TAX NOW IN STOCK CALL PADDY 087 3286720,http://www.carzone.ie/search/Toyota/Avensis/141D-AVE/37913850615826380/advert?channel=CARS,"30,495",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Call Paddy 087 3286720,0,"January, 2018",Saloon
Toyota Avensis 141D AVENSIS 2.0 DIESEL AURA 4DR NEW MODEL LOW TAX NOW IN STOCK CALL PETER 086-394544,http://www.carzone.ie/search/Toyota/Avensis/141D-AVE/36513823555252070/advert?channel=CARS,"26,495",2014 ,Dublin,0,2.0,Diesel,Manual,Choice Of Colours Available Call Peter 086-3945442,0,"April, 2018",Saloon
Toyota Avensis 2.0 D4D LUNA UPGRADED 2013 ORDER NOW. ALLOYS/REVERSING CAMERA/BLUETOOTH/LEATHER/CLIMA,http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/813243726381790/advert?channel=CARS,POA,2014 ,Dublin,0,1.9,Diesel,Manual,Metallic Granite Grey,0,,Saloon
Toyota Avensis 2.0 Diesel,http://www.carzone.ie/search/Toyota/Avensis/2.0-Dies/313222183110840/advert?channel=CARS,POA,2014 ,Dublin,0,2.0,Diesel,Manual,Silver,0,,Saloon
Toyota Avensis AURA 2L D4D,http://www.carzone.ie/search/Toyota/Avensis/AURA-2L-/36613814005023540/advert?channel=CARS,POA,2014 ,Kildare,0,1.9,Diesel,Manual,Black,0,,Saloon
"Toyota Avensis 2.0 D4D TOP SPEC ""SAT NAV"".",http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/34413658711821290/advert?channel=CARS,POA,2014 ,Donegal,20,1.9,Diesel,Manual,White,0,,Saloon
Toyota Avensis 141D AVENSIS 2.0 DIESEL TERRA 4DR 3 YEAR LOW TAX NOW IN STOCK CALL PADDY 087 3286720,http://www.carzone.ie/search/Toyota/Avensis/141D-AVE/31713577611773220/advert?channel=CARS,"25,495",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Call Paddy 087 3286720,0,"January, 2018",Saloon
Toyota Avensis 2.0 D4D TERRA,http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/34013614538914810/advert?channel=CARS,"25,500",2014 ,Cork,0,2.0,Diesel,Manual,Silver,0,,Saloon
Toyota Avensis 1.6 AURA,http://www.carzone.ie/search/Toyota/Avensis/1.6-AURA/34013614535814440/advert?channel=CARS,"25,900",2014 ,Cork,0,2.0,Diesel,Manual,Silver,0,,Saloon
Toyota Avensis 141D AVENSIS 2.0 DIESEL AURA 4DR NEW MODEL LOW TAX NOW IN STOCK CALL PADDY 087 328672,http://www.carzone.ie/search/Toyota/Avensis/141D-AVE/37713850612110690/advert?channel=CARS,"26,495",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Avantgarde Call Paddy 087 3286720,0,"January, 2018",Saloon
Toyota Avensis 2.0 AURA NEW MODEL ALLOYS FOGS A/CON BLUETOOTH CRUISE CONTROL CAR IS IN STOCK AND REA,http://www.carzone.ie/search/Toyota/Avensis/2.0-AURA/37713862506323630/advert?channel=CARS,"26,495",2014 ,Dublin,0,2.0,Diesel,Manual,Metallic Grey Call Wayne 0876124281,0,"March, 2018",Saloon
Toyota Avensis Tourer 2.0 Diesel,http://www.carzone.ie/search/Toyota/Avensis/Tourer-2/413222213402960/advert?channel=CARS,POA,2014 ,Dublin,0,2.0,Diesel,Manual,Silver,0,,Estate
Toyota Avensis 2.0 D-4D AURA Saloon at Denis Mahony (M50),http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/38113847672981120/advert?channel=CARS,"25,250",2013 ,Dublin,"11,185",1.9,Diesel,Manual,Silver,1,"July, 2017",Saloon
Toyota Avensis STRATA *** COLOUR REVERSING CAMERA *** TOUCH SCREEN STEREO *** UPGRADED UPHOLSTERY **,http://www.carzone.ie/search/Toyota/Avensis/STRATA-*/42713939428068570/advert?channel=CARS,"25,450",2013 ,Wexford,"4,971",1.9,Diesel,Manual,Metallic Night Sky Black,0,"September, 2017",Saloon
Toyota Avensis 2.0 D-4D AURA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/43413929113007730/advert?channel=CARS,"25,450",2013 ,Tipperary,"13,004",2.0,Diesel,Manual,Silver,1,"July, 2017",Saloon
Toyota Avensis 2.0 D-4D AURA 4DR GREAT SPEC WITH FULL TOYOTA WARRANTY,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37113833245072380/advert?channel=CARS,"25,950",2013 ,Kildare,"9,942",1.9,Diesel,Manual,Silver,1,"July, 2017",Saloon
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/44213939552261390/advert?channel=CARS,"28,500",2013 ,Westmeath,"7,463",1.9,Diesel,Manual,Metallic Night Sky Black,1,"July, 2017",Saloon
Toyota Avensis 2.0 D4D STRATA SALOON,http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/37613861591802470/advert?channel=CARS,"26,500",2013 ,Cork,"3,107",1.9,Diesel,Manual,Granite Grey,1,"July, 2017",Saloon
Toyota Avensis 2.0 D-4D LUNA RC 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/38013850520349090/advert?channel=CARS,"28,950",2013 ,Westmeath,"8,750",1.9,Diesel,Manual,Granite Grey,1,"July, 2017",Saloon
Toyota Avensis 2.0 D-4D LUNA TOUR 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37013842743827920/advert?channel=CARS,"29,950",2013 ,Westmeath,"4,062",1.9,Diesel,Manual,Night Sky Black,1,"July, 2017",MPV
Toyota Avensis BLUETOOTH/CRUISE CONTROL,http://www.carzone.ie/search/Toyota/Avensis/BLUETOOT/36813698279747740/advert?channel=CARS,POA,2014 ,Donegal,0,1.6,Petrol,Manual,Ultra Silver Metallic,0,,Saloon
Toyota Avensis 2.0 D-4D AURA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37213766655936490/advert?channel=CARS,"24,950",2013 ,Cork,"8,320",1.9,Diesel,Manual,Metallic Granite Grey,1,"July, 2017",Saloon
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/38713910797162200/advert?channel=CARS,"26,000",2013 ,Cork,"11,806",1.9,Diesel,Manual,Metallic Grey,1,"January, 2017",Saloon
Toyota Avensis 2.0 D-4D AURA TOUR 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37013789791363790/advert?channel=CARS,"26,500",2013 ,Tipperary,"5,157",1.9,Diesel,Manual,Metallic Silver,1,"January, 2017",Estate
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37913888744010710/advert?channel=CARS,"26,900",2013 ,Cork,"9,507",2.0,Diesel,Manual,Metallic Granite Grey,1,"January, 2017",Saloon
Toyota Avensis 2.0 D-4D LUNA RC 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/38213898029929170/advert?channel=CARS,"27,450",2013 ,Cork,"8,863",1.9,Diesel,Manual,Metallic Silver,1,"January, 2017",Saloon
Toyota Avensis 2.0 D4D Luna RC 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D4D-/43413939137643300/advert?channel=CARS,"27,500",2013 ,Westmeath,"8,699",2.0,Diesel,Manual,Grey,,,Saloon
Toyota Avensis STRATA 2.0 D4D ROAD TAX €200,http://www.carzone.ie/search/Toyota/Avensis/STRATA-2/31713583513502450/advert?channel=CARS,"30,250",2013 ,Meath,0,1.9,Diesel,Manual,Night Sky Black,0,,Saloon
Toyota Avensis AURA 2L D4D,http://www.carzone.ie/search/Toyota/Avensis/AURA-2L-/37113813112190350/advert?channel=CARS,POA,2013 ,Kildare,2,1.9,Diesel,Manual,Silver,0,,Saloon
Toyota Avensis 132D DIESEL AURA MODEL BLUETOOTH CRUISE CONTROL CALL PADDY 087 3286720,http://www.carzone.ie/search/Toyota/Avensis/132D-DIE/33413668160735340/advert?channel=CARS,"23,745",2013 ,Dublin,"3,000",1.9,Diesel,Manual,Metallic Call Paddy 087 3286720,1,,Saloon
Toyota Avensis *** CRUISE CONTROL *** BLUETOOTH PHONE AND MUSIC STREAMING *** VERY LOW MILEAGE *** O,http://www.carzone.ie/search/Toyota/Avensis/***-CRUI/37713813274107610/advert?channel=CARS,"24,750",2013 ,Wexford,"7,456",1.9,Diesel,Manual,Ultra Silver Metallic,1,"July, 2017",Saloon
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/39313921403472570/advert?channel=CARS,"25,900",2013 ,Cork,"15,410",2.0,Diesel,Manual,Metallic Ash Grey,1,"January, 2017",Saloon
Toyota Avensis 2.0 D-4D AURA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37313812280636020/advert?channel=CARS,"24,950",2013 ,Dublin,"13,049",1.9,Diesel,Manual,Granite,1,"March, 2017",Saloon
Toyota Avensis 2.0 D-4D AURA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37213813149326060/advert?channel=CARS,"24,950",2013 ,Dublin,"17,398",1.9,Diesel,Manual,Dark Red,1,"March, 2017",Saloon
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/44213939559661510/advert?channel=CARS,"24,950",2013 ,Westmeath,"20,118",1.9,Diesel,Manual,Metallic Ultra Silver,1,"January, 2017",Saloon
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/38513923795518590/advert?channel=CARS,"24,950",2013 ,Limerick,"36,040",1.9,Diesel,Manual,Metallic Silver,1,"January, 2017",Saloon
Toyota Avensis 2.0 D-4D STRATA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/38613910794993280/advert?channel=CARS,"25,000",2013 ,Cork,"8,078",1.9,Diesel,Manual,Metallic Black,1,"January, 2017",Saloon
Toyota Avensis 2.0 D-4D AURA TOUR 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/36613789949835900/advert?channel=CARS,"25,495",2013 ,Dublin,0,1.9,Diesel,Manual,Silver,1,,Estate
Toyota Avensis 2.0 D-4D TOURER AURA,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/31713585413286400/advert?channel=CARS,"25,500",2013 ,Waterford,"3,728",2.0,Diesel,Manual,Dark Red Metallic,1,,Estate
Toyota Avensis 2.0 D-4D AURA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/39313897176371020/advert?channel=CARS,"25,500",2013 ,Donegal,"5,810",1.9,Diesel,Manual,Ash Grey,1,"January, 2017",Saloon
Toyota Avensis 2.0 D-4D AURA TOUR 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/36813728459820240/advert?channel=CARS,"25,650",2013 ,Dublin,94,1.9,Diesel,Manual,Metallic Grey,1,,Estate
Toyota Avensis 2.0 D-4D AURA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/37613812275613640/advert?channel=CARS,"24,950",2013 ,Dublin,"12,427",1.9,Diesel,Manual,Ultra Silver,1,"March, 2017",Saloon
Toyota Avensis Aura Tourer 2.0 D4D,http://www.carzone.ie/search/Toyota/Avensis/Aura-Tou/37113813092982880/advert?channel=CARS,"24,750",2013 ,Dublin,"12,844",1.9,Diesel,Manual,Silver,1,"April, 2017",Estate
Toyota Avensis 2.0 D-4D AURA TOURER NO MILEAGE DEMO MODEL,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/713243726408420/advert?channel=CARS,"24,945",2013 ,Dublin,"1,553",1.9,Diesel,Manual,Metallic Ultra Silver,1,"June, 2017",Estate
Toyota Avensis 2.0 D-4D AURA 4DR,http://www.carzone.ie/search/Toyota/Avensis/2.0-D-4D/38013892621967710/advert?channel=CARS,"24,949",2013 ,Kildare,"8,146",1.9,Diesel,Manual,Metallic Granite Grey,0,"January, 2017",Saloon
