title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Volkswagen Polo 1.2 Tdi Cross 75bhp,http://www.carzone.ie/search/Volkswagen/Polo/1.2-Tdi-/36613861623189600/advert?channel=CARS,"23,683",2014 ,Limerick,,1.2,Diesel,Manual,Deep Black Metallic,,,Hatchback
Volkswagen Polo 1.2Tdi Trendline,http://www.carzone.ie/search/Volkswagen/Polo/1.2Tdi-T/36313834222922640/advert?channel=CARS,"19,628",2014 ,Cork,,1.2,Diesel,Manual,Reflex Silver,,,Hatchback
Volkswagen Polo TRENDLINE,http://www.carzone.ie/search/Volkswagen/Polo/TRENDLIN/37213862486903200/advert?channel=CARS,"19,628",2014 ,Wicklow,,1.2,Diesel,Manual,Toffee Brown,,,Hatchback
Volkswagen Polo 1.2 TDi Comfortline 75 BHP with 3 years free servicing & 3.9% Financing!!,http://www.carzone.ie/search/Volkswagen/Polo/1.2-TDi-/36613834223047160/advert?channel=CARS,"20,225",2014 ,Tipperary,,1.2,Diesel,Manual,Black,,,Hatchback
Volkswagen Polo Cross 1.2TDI 5Dr,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./36513805426534310/advert?channel=CARS,"21,450",2014 ,Dublin,6,1.2,Diesel,Manual,Silver,1,,Hatchback
Volkswagen Polo Cross 1.2 70bhp,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./37013834222678960/advert?channel=CARS,"21,705",2014 ,Limerick,,1.2,Petrol,Manual,Flash Red,,,Hatchback
Volkswagen Polo Cross 1.2 TSi 70 BHP. Now with 3 years FREE servicing & finance from only 3.9%APR!!!,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./37913849626372110/advert?channel=CARS,"22,150",2014 ,Tipperary,,1.2,Petrol,Manual,Terra Beige Metallic,,,Hatchback
Volkswagen Polo coss 1.2 5dr,http://www.carzone.ie/search/Volkswagen/Polo/coss-1.2/37713801216869250/advert?channel=CARS,"22,180",2014 ,Tipperary,1,1.2,Petrol,Manual,Metallic Silver,0,,Hatchback
Volkswagen Polo Cross 1.2,http://www.carzone.ie/search/Volkswagen/Polo/Cross-1./37113834222929820/advert?channel=CARS,"22,188",2014 ,Cork,,1.2,Petrol,Manual,Terra Beige Metallic,,,Hatchback
Volkswagen Polo Cross Polo 1.2 TSI 75BHP,http://www.carzone.ie/search/Volkswagen/Polo/Cross-Po/37713871991321250/advert?channel=CARS,"22,209",2014 ,Clare,,1.2,Petrol,Manual,Terra Beige,,,Hatchback
Volkswagen Polo COMFORTLINE,http://www.carzone.ie/search/Volkswagen/Polo/COMFORTL/37713834222917720/advert?channel=CARS,"18,695",2014 ,Cork,,1.2,Petrol,Manual,Black,,,Hatchback
Volkswagen Polo Trendline 1.2 TDI,http://www.carzone.ie/search/Volkswagen/Polo/Trendlin/37113857306164140/advert?channel=CARS,"19,145",2014 ,Wexford,12,1.2,Diesel,Manual,Silver,,,Hatchback
Volkswagen Polo 1.2 Comfort 70bhp,http://www.carzone.ie/search/Volkswagen/Polo/1.2-Comf/37613834222923930/advert?channel=CARS,"19,178",2014 ,Cork,,1.2,Petrol,Manual,Metallic Reflex Silver,,,Hatchback
Volkswagen Polo 1.2 TDI COMFORTLINE 5 DOOR,http://www.carzone.ie/search/Volkswagen/Polo/1.2-TDI-/43313939487232380/advert?channel=CARS,"19,500",2014 ,Cork,124,1.2,Diesel,Manual,Ice Silver Metallic,1,,Hatchback
Volkswagen Polo 1.2 Trend 60 Bhp,http://www.carzone.ie/search/Volkswagen/Polo/1.2-Tren/36313844541042590/advert?channel=CARS,"17,693",2014 ,Waterford,,1.2,Petrol,Manual,Silver,,,Hatchback
Volkswagen Polo TRENDLINE,http://www.carzone.ie/search/Volkswagen/Polo/TRENDLIN/37713834223219800/advert?channel=CARS,"17,703",2014 ,Clare,,1.2,Petrol,Manual,Toffee Brown,,,Hatchback
Volkswagen Polo 1.2 TDi 75 BHP Trendline 5dr,http://www.carzone.ie/search/Volkswagen/Polo/1.2-TDi-/37113834223047460/advert?channel=CARS,"17,950",2014 ,Tipperary,621,1.2,Diesel,Manual,Reflex Silver Metallic,,,Hatchback
Volkswagen Polo 1.2TDI DEMO TRENDLINE........,http://www.carzone.ie/search/Volkswagen/Polo/1.2TDI-D/36813834222839900/advert?channel=CARS,"17,950",2014 ,Laois,621,1.2,Diesel,Manual,Black,,,Hatchback
Volkswagen Polo R Line 1.2 70bhp,http://www.carzone.ie/search/Volkswagen/Polo/R-Line-1/39113916153927830/advert?channel=CARS,"17,975",2014 ,Wexford,155,1.2,Petrol,Manual,Red,1,,Hatchback
Volkswagen Polo Trendline 1.2i 5Dr,http://www.carzone.ie/search/Volkswagen/Polo/Trendlin/43813935169325870/advert?channel=CARS,"18,450",2014 ,Dublin,,1.2,Diesel,Manual,Black,1,,Hatchback
Volkswagen Polo Trendline,http://www.carzone.ie/search/Volkswagen/Polo/Trendlin/37613834222805030/advert?channel=CARS,"17,500",2014 ,Kildare,,1.2,Petrol,Manual,Grey,,,Hatchback
Volkswagen Polo Trendline,http://www.carzone.ie/search/Volkswagen/Polo/Trendlin/36613834222807770/advert?channel=CARS,"17,500",2014 ,Kildare,,1.2,Petrol,Manual,Silver,,,Hatchback
